final_decision_id,application_id,candidate_id,must_evidence_status,remaining_uncertainty,learnable_gap_summary,decision,rationale,decided_by,decided_at,decision_provenance
FD_APP0014,APP0014,C0014,UNRESOLVED,"[""M1_SKILL_02"",""M1_SKILL_04"",""M1_SKILL_05""]",[],HOLD,"{""decision_refs"":[""DC_APP0014_M1_SKILL_01_005535"",""DC_APP0014_M1_SKILL_02_005536"",""DC_APP0014_M1_SKILL_03_005537"",""DC_APP0014_M1_SKILL_04_005538"",""DC_APP0014_M1_SKILL_05_005539""],""learnable_gaps"":[],""repeated_must_limitations"":[],""rubric_id"":""M1_EVIDENCE_RUBRIC_V01"",""talent_profile"":""talent_profile.json"",""unresolved_must"":[""M1_SKILL_02"",""M1_SKILL_04"",""M1_SKILL_05""]}",FINAL_PANEL_01,2026-12-30T11:55:00+09:00,SYNTHETIC_HUMAN_SCENARIO
FD_APP0070,APP0070,C0070,UNRESOLVED,"[""M1_SKILL_04"",""M1_SKILL_05""]","[""M1_SKILL_06""]",HOLD,"{""decision_refs"":[""DC_APP0070_M1_SKILL_01_005544"",""DC_APP0070_M1_SKILL_02_005545"",""DC_APP0070_M1_SKILL_03_005546"",""DC_APP0070_M1_SKILL_04_005547"",""DC_APP0070_M1_SKILL_05_005548""],""learnable_gaps"":[""M1_SKILL_06""],""repeated_must_limitations"":[],""rubric_id"":""M1_EVIDENCE_RUBRIC_V01"",""talent_profile"":""talent_profile.json"",""unresolved_must"":[""M1_SKILL_04"",""M1_SKILL_05""]}",FINAL_PANEL_01,2027-01-15T12:15:00+09:00,SYNTHETIC_HUMAN_SCENARIO
FD_APP0013,APP0013,C0013,UNRESOLVED,"[""M1_SKILL_01"",""M1_SKILL_02"",""M1_SKILL_03"",""M1_SKILL_04"",""M1_SKILL_05""]","[""M1_SKILL_06""]",HOLD,"{""decision_refs"":[""DC_APP0013_M1_SKILL_01_005553"",""DC_APP0013_M1_SKILL_02_005554"",""DC_APP0013_M1_SKILL_03_005555"",""DC_APP0013_M1_SKILL_04_005556"",""DC_APP0013_M1_SKILL_05_005557""],""learnable_gaps"":[""M1_SKILL_06""],""repeated_must_limitations"":[],""rubric_id"":""M1_EVIDENCE_RUBRIC_V01"",""talent_profile"":""talent_profile.json"",""unresolved_must"":[""M1_SKILL_01"",""M1_SKILL_02"",""M1_SKILL_03"",""M1_SKILL_04"",""M1_SKILL_05""]}",FINAL_PANEL_01,2027-01-14T11:55:00+09:00,SYNTHETIC_HUMAN_SCENARIO
FD_APP0045,APP0045,C0045,UNRESOLVED,"[""M1_SKILL_02""]",[],HOLD,"{""decision_refs"":[""DC_APP0045_M1_SKILL_01_005562"",""DC_APP0045_M1_SKILL_02_005563"",""DC_APP0045_M1_SKILL_03_005564"",""DC_APP0045_M1_SKILL_04_005565"",""DC_APP0045_M1_SKILL_05_005566""],""learnable_gaps"":[],""repeated_must_limitations"":[],""rubric_id"":""M1_EVIDENCE_RUBRIC_V01"",""talent_profile"":""talent_profile.json"",""unresolved_must"":[""M1_SKILL_02""]}",FINAL_PANEL_01,2027-01-14T12:00:00+09:00,SYNTHETIC_HUMAN_SCENARIO
FD_APP0006,APP0006,C0006,UNRESOLVED,"[""M1_SKILL_02"",""M1_SKILL_03"",""M1_SKILL_04""]","[""M1_SKILL_06""]",HOLD,"{""decision_refs"":[""DC_APP0006_M1_SKILL_01_005571"",""DC_APP0006_M1_SKILL_02_005572"",""DC_APP0006_M1_SKILL_03_005573"",""DC_APP0006_M1_SKILL_04_005574"",""DC_APP0006_M1_SKILL_05_005575""],""learnable_gaps"":[""M1_SKILL_06""],""repeated_must_limitations"":[],""rubric_id"":""M1_EVIDENCE_RUBRIC_V01"",""talent_profile"":""talent_profile.json"",""unresolved_must"":[""M1_SKILL_02"",""M1_SKILL_03"",""M1_SKILL_04""]}",FINAL_PANEL_01,2027-01-28T12:05:00+09:00,SYNTHETIC_HUMAN_SCENARIO
FD_APP0041,APP0041,C0041,UNRESOLVED,"[""M1_SKILL_04"",""M1_SKILL_05""]",[],HOLD,"{""decision_refs"":[""DC_APP0041_M1_SKILL_01_005580"",""DC_APP0041_M1_SKILL_02_005581"",""DC_APP0041_M1_SKILL_03_005582"",""DC_APP0041_M1_SKILL_04_005583"",""DC_APP0041_M1_SKILL_05_005584""],""learnable_gaps"":[],""repeated_must_limitations"":[],""rubric_id"":""M1_EVIDENCE_RUBRIC_V01"",""talent_profile"":""talent_profile.json"",""unresolved_must"":[""M1_SKILL_04"",""M1_SKILL_05""]}",FINAL_PANEL_01,2027-02-04T11:45:00+09:00,SYNTHETIC_HUMAN_SCENARIO
FD_APP0102,APP0102,C0102,UNRESOLVED,"[""M1_SKILL_01"",""M1_SKILL_03""]","[""M1_SKILL_06""]",HOLD,"{""decision_refs"":[""DC_APP0102_M1_SKILL_01_005589"",""DC_APP0102_M1_SKILL_02_005590"",""DC_APP0102_M1_SKILL_03_005591"",""DC_APP0102_M1_SKILL_04_005592"",""DC_APP0102_M1_SKILL_05_005593""],""learnable_gaps"":[""M1_SKILL_06""],""repeated_must_limitations"":[],""rubric_id"":""M1_EVIDENCE_RUBRIC_V01"",""talent_profile"":""talent_profile.json"",""unresolved_must"":[""M1_SKILL_01"",""M1_SKILL_03""]}",FINAL_PANEL_01,2027-02-17T11:40:00+09:00,SYNTHETIC_HUMAN_SCENARIO
FD_APP0123,APP0123,C0123,UNRESOLVED,"[""M1_SKILL_01"",""M1_SKILL_02"",""M1_SKILL_05""]",[],HOLD,"{""decision_refs"":[""DC_APP0123_M1_SKILL_01_005598"",""DC_APP0123_M1_SKILL_02_005599"",""DC_APP0123_M1_SKILL_03_005600"",""DC_APP0123_M1_SKILL_04_005601"",""DC_APP0123_M1_SKILL_05_005602""],""learnable_gaps"":[],""repeated_must_limitations"":[],""rubric_id"":""M1_EVIDENCE_RUBRIC_V01"",""talent_profile"":""talent_profile.json"",""unresolved_must"":[""M1_SKILL_01"",""M1_SKILL_02"",""M1_SKILL_05""]}",FINAL_PANEL_01,2027-02-20T11:55:00+09:00,SYNTHETIC_HUMAN_SCENARIO
FD_APP0089,APP0089,C0089,UNRESOLVED,"[""M1_SKILL_01"",""M1_SKILL_03""]",[],HOLD,"{""decision_refs"":[""DC_APP0089_M1_SKILL_01_005607"",""DC_APP0089_M1_SKILL_02_005608"",""DC_APP0089_M1_SKILL_03_005609"",""DC_APP0089_M1_SKILL_04_005610"",""DC_APP0089_M1_SKILL_05_005611""],""learnable_gaps"":[],""repeated_must_limitations"":[],""rubric_id"":""M1_EVIDENCE_RUBRIC_V01"",""talent_profile"":""talent_profile.json"",""unresolved_must"":[""M1_SKILL_01"",""M1_SKILL_03""]}",FINAL_PANEL_01,2027-02-22T12:00:00+09:00,SYNTHETIC_HUMAN_SCENARIO
FD_APP0059,APP0059,C0059,UNRESOLVED,"[""M1_SKILL_02"",""M1_SKILL_05""]","[""M1_SKILL_06""]",HOLD,"{""decision_refs"":[""DC_APP0059_M1_SKILL_01_005616"",""DC_APP0059_M1_SKILL_02_005617"",""DC_APP0059_M1_SKILL_03_005618"",""DC_APP0059_M1_SKILL_04_005619"",""DC_APP0059_M1_SKILL_05_005620""],""learnable_gaps"":[""M1_SKILL_06""],""repeated_must_limitations"":[],""rubric_id"":""M1_EVIDENCE_RUBRIC_V01"",""talent_profile"":""talent_profile.json"",""unresolved_must"":[""M1_SKILL_02"",""M1_SKILL_05""]}",FINAL_PANEL_01,2027-02-18T12:15:00+09:00,SYNTHETIC_HUMAN_SCENARIO
FD_APP0050,APP0050,C0050,UNRESOLVED,"[""M1_SKILL_02"",""M1_SKILL_03""]","[""M1_SKILL_06""]",HOLD,"{""decision_refs"":[""DC_APP0050_M1_SKILL_01_005625"",""DC_APP0050_M1_SKILL_02_005626"",""DC_APP0050_M1_SKILL_03_005627"",""DC_APP0050_M1_SKILL_04_005628"",""DC_APP0050_M1_SKILL_05_005629""],""learnable_gaps"":[""M1_SKILL_06""],""repeated_must_limitations"":[],""rubric_id"":""M1_EVIDENCE_RUBRIC_V01"",""talent_profile"":""talent_profile.json"",""unresolved_must"":[""M1_SKILL_02"",""M1_SKILL_03""]}",FINAL_PANEL_01,2027-02-21T11:40:00+09:00,SYNTHETIC_HUMAN_SCENARIO
FD_APP0096,APP0096,C0096,UNRESOLVED,"[""M1_SKILL_01""]",[],HOLD,"{""decision_refs"":[""DC_APP0096_M1_SKILL_01_005634"",""DC_APP0096_M1_SKILL_02_005635"",""DC_APP0096_M1_SKILL_03_005636"",""DC_APP0096_M1_SKILL_04_005637"",""DC_APP0096_M1_SKILL_05_005638""],""learnable_gaps"":[],""repeated_must_limitations"":[],""rubric_id"":""M1_EVIDENCE_RUBRIC_V01"",""talent_profile"":""talent_profile.json"",""unresolved_must"":[""M1_SKILL_01""]}",FINAL_PANEL_01,2027-02-27T11:50:00+09:00,SYNTHETIC_HUMAN_SCENARIO
FD_APP0058,APP0058,C0058,UNRESOLVED,"[""M1_SKILL_03""]","[""M1_SKILL_06""]",HOLD,"{""decision_refs"":[""DC_APP0058_M1_SKILL_01_005643"",""DC_APP0058_M1_SKILL_02_005644"",""DC_APP0058_M1_SKILL_03_005645"",""DC_APP0058_M1_SKILL_04_005646"",""DC_APP0058_M1_SKILL_05_005647""],""learnable_gaps"":[""M1_SKILL_06""],""repeated_must_limitations"":[],""rubric_id"":""M1_EVIDENCE_RUBRIC_V01"",""talent_profile"":""talent_profile.json"",""unresolved_must"":[""M1_SKILL_03""]}",FINAL_PANEL_01,2027-03-03T12:05:00+09:00,SYNTHETIC_HUMAN_SCENARIO
