evidence_id,hold_decision_id,skill_id,hold_reason,question,existing_evidence_ids,existing_observation_ids,response_kind
EV_APP0014_FINAL_REVIEW_FOCUSED_FOLLOW_UP_M1_SKILL_04,FD_APP0014_INITIAL,M1_SKILL_04,EVALUATOR_DISAGREEMENT,공동 산출물 중 본인이 수행하고 검증한 범위를 기록으로 분리할 수 있는가? 대상: EV_APP0014_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_04 / 행동은 확인했지만 원문에 검증 미실행이 명시됐다. / 학습·협업 행동의 상황·행동·피드백 확인,"[""EV_APP0014_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_04"",""EV_APP0014_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_04"",""EV_APP0014_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_04""]","[""OB_DOCUMENT_SCREEN_PANEL_01_RECRUITER_EV_APP0014_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_04"",""OB_FIRST_PANEL_01_HIRING_MANAGER_EV_APP0014_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_04"",""OB_FIRST_PANEL_01_ML_ENGINEER_EV_APP0014_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_04"",""OB_FIRST_PANEL_01_TECHNICAL_REVIEWER_EV_APP0014_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_04"",""OB_SECOND_INTERVIEW_PANEL_01_HIRING_MANAGER_EV_APP0014_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_04"",""OB_SECOND_INTERVIEW_PANEL_01_ML_ENGINEER_EV_APP0014_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_04""]",OWNERSHIP_STILL_AMBIGUOUS
EV_APP0014_FINAL_REVIEW_FOCUSED_FOLLOW_UP_M1_SKILL_05,FD_APP0014_INITIAL,M1_SKILL_05,MISSING_EVIDENCE,누락된 개인 수행 산출물과 검증 기록을 제시할 수 있는가? 대상: EV_APP0014_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_05 / 원문에 해당 행동을 확인할 내용이 없다. 능력 부재를 뜻하지 않는다. / 학습·협업 행동의 상황·행동·피드백 확인,"[""EV_APP0014_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_05"",""EV_APP0014_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_05"",""EV_APP0014_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_05""]","[""OB_DOCUMENT_SCREEN_PANEL_01_RECRUITER_EV_APP0014_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_05"",""OB_FIRST_PANEL_01_HIRING_MANAGER_EV_APP0014_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_05"",""OB_FIRST_PANEL_01_ML_ENGINEER_EV_APP0014_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_05"",""OB_FIRST_PANEL_01_TECHNICAL_REVIEWER_EV_APP0014_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_05"",""OB_SECOND_INTERVIEW_PANEL_01_HIRING_MANAGER_EV_APP0014_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_05"",""OB_SECOND_INTERVIEW_PANEL_01_ML_ENGINEER_EV_APP0014_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_05""]",ARTIFACT_UNAVAILABLE
EV_APP0005_FINAL_REVIEW_FOCUSED_FOLLOW_UP_M1_SKILL_04,FD_APP0005_INITIAL,M1_SKILL_04,MISSING_EVIDENCE,누락된 개인 수행 산출물과 검증 기록을 제시할 수 있는가? 대상: EV_APP0005_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_04 / 원문에 해당 행동을 확인할 내용이 없다. 능력 부재를 뜻하지 않는다. / 학습·협업 행동의 상황·행동·피드백 확인,"[""EV_APP0005_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_04"",""EV_APP0005_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_04"",""EV_APP0005_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_04""]","[""OB_DOCUMENT_SCREEN_PANEL_01_RECRUITER_EV_APP0005_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_04"",""OB_FIRST_PANEL_04_HIRING_MANAGER_EV_APP0005_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_04"",""OB_FIRST_PANEL_04_ML_ENGINEER_EV_APP0005_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_04"",""OB_FIRST_PANEL_04_TECHNICAL_REVIEWER_EV_APP0005_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_04"",""OB_SECOND_INTERVIEW_PANEL_01_HIRING_MANAGER_EV_APP0005_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_04"",""OB_SECOND_INTERVIEW_PANEL_01_ML_ENGINEER_EV_APP0005_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_04""]",ARTIFACT_UNAVAILABLE
EV_APP0037_FINAL_REVIEW_FOCUSED_FOLLOW_UP_M1_SKILL_05,FD_APP0037_INITIAL,M1_SKILL_05,EVALUATOR_DISAGREEMENT,공동 산출물 중 본인이 수행하고 검증한 범위를 기록으로 분리할 수 있는가? 대상: EV_APP0037_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_05 / 팀 산출물에서 개인의 검증 범위를 분리할 수 없다. / 학습·협업 행동의 상황·행동·피드백 확인,"[""EV_APP0037_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_05"",""EV_APP0037_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_05"",""EV_APP0037_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_05""]","[""OB_DOCUMENT_SCREEN_PANEL_01_RECRUITER_EV_APP0037_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_05"",""OB_FIRST_PANEL_02_HIRING_MANAGER_EV_APP0037_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_05"",""OB_FIRST_PANEL_02_ML_ENGINEER_EV_APP0037_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_05"",""OB_FIRST_PANEL_02_TECHNICAL_REVIEWER_EV_APP0037_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_05"",""OB_SECOND_INTERVIEW_PANEL_01_HIRING_MANAGER_EV_APP0037_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_05"",""OB_SECOND_INTERVIEW_PANEL_01_ML_ENGINEER_EV_APP0037_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_05""]",SHARED_SCOPE_CONFIRMED
EV_APP0046_FINAL_REVIEW_FOCUSED_FOLLOW_UP_M1_SKILL_04,FD_APP0046_INITIAL,M1_SKILL_04,EVALUATOR_DISAGREEMENT,공동 산출물 중 본인이 수행하고 검증한 범위를 기록으로 분리할 수 있는가? 대상: EV_APP0046_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_04 / 행동은 확인했지만 원문에 검증 미실행이 명시됐다. / 학습·협업 행동의 상황·행동·피드백 확인,"[""EV_APP0046_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_04"",""EV_APP0046_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_04"",""EV_APP0046_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_04""]","[""OB_DOCUMENT_SCREEN_PANEL_01_RECRUITER_EV_APP0046_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_04"",""OB_FIRST_PANEL_09_HIRING_MANAGER_EV_APP0046_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_04"",""OB_FIRST_PANEL_09_ML_ENGINEER_EV_APP0046_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_04"",""OB_FIRST_PANEL_09_TECHNICAL_REVIEWER_EV_APP0046_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_04"",""OB_SECOND_INTERVIEW_PANEL_01_HIRING_MANAGER_EV_APP0046_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_04"",""OB_SECOND_INTERVIEW_PANEL_01_ML_ENGINEER_EV_APP0046_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_04""]",OWNERSHIP_STILL_AMBIGUOUS
EV_APP0035_FINAL_REVIEW_FOCUSED_FOLLOW_UP_M1_SKILL_04,FD_APP0035_INITIAL,M1_SKILL_04,UNRESOLVED_EVIDENCE,앞선 검증 미실행의 범위를 재확인하고 요청한 검증을 수행했는가? 대상: EV_APP0035_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_04 / 원문에 해당 행동을 확인할 내용이 없다. 능력 부재를 뜻하지 않는다. / 학습·협업 행동의 상황·행동·피드백 확인,"[""EV_APP0035_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_04"",""EV_APP0035_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_04"",""EV_APP0035_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_04""]","[""OB_DOCUMENT_SCREEN_PANEL_01_RECRUITER_EV_APP0035_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_04"",""OB_FIRST_PANEL_01_HIRING_MANAGER_EV_APP0035_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_04"",""OB_FIRST_PANEL_01_ML_ENGINEER_EV_APP0035_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_04"",""OB_FIRST_PANEL_01_TECHNICAL_REVIEWER_EV_APP0035_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_04"",""OB_SECOND_INTERVIEW_PANEL_01_HIRING_MANAGER_EV_APP0035_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_04"",""OB_SECOND_INTERVIEW_PANEL_01_ML_ENGINEER_EV_APP0035_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_04""]",CHECK_COMPLETED
EV_APP0035_FINAL_REVIEW_FOCUSED_FOLLOW_UP_M1_SKILL_05,FD_APP0035_INITIAL,M1_SKILL_05,EVALUATOR_DISAGREEMENT,공동 산출물 중 본인이 수행하고 검증한 범위를 기록으로 분리할 수 있는가? 대상: EV_APP0035_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_05 / 원문에 해당 행동을 확인할 내용이 없다. 능력 부재를 뜻하지 않는다. / 학습·협업 행동의 상황·행동·피드백 확인,"[""EV_APP0035_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_05"",""EV_APP0035_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_05"",""EV_APP0035_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_05""]","[""OB_DOCUMENT_SCREEN_PANEL_01_RECRUITER_EV_APP0035_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_05"",""OB_FIRST_PANEL_01_HIRING_MANAGER_EV_APP0035_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_05"",""OB_FIRST_PANEL_01_ML_ENGINEER_EV_APP0035_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_05"",""OB_FIRST_PANEL_01_TECHNICAL_REVIEWER_EV_APP0035_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_05"",""OB_SECOND_INTERVIEW_PANEL_01_HIRING_MANAGER_EV_APP0035_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_05"",""OB_SECOND_INTERVIEW_PANEL_01_ML_ENGINEER_EV_APP0035_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_05""]",OWNERSHIP_STILL_AMBIGUOUS
EV_APP0059_FINAL_REVIEW_FOCUSED_FOLLOW_UP_M1_SKILL_05,FD_APP0059_INITIAL,M1_SKILL_05,EVALUATOR_DISAGREEMENT,공동 산출물 중 본인이 수행하고 검증한 범위를 기록으로 분리할 수 있는가? 대상: EV_APP0059_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_05 / 행동은 확인했지만 원문에 검증 미실행이 명시됐다. / 학습·협업 행동의 상황·행동·피드백 확인,"[""EV_APP0059_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_05"",""EV_APP0059_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_05"",""EV_APP0059_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_05""]","[""OB_DOCUMENT_SCREEN_PANEL_01_RECRUITER_EV_APP0059_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_05"",""OB_FIRST_PANEL_09_HIRING_MANAGER_EV_APP0059_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_05"",""OB_FIRST_PANEL_09_ML_ENGINEER_EV_APP0059_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_05"",""OB_FIRST_PANEL_09_TECHNICAL_REVIEWER_EV_APP0059_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_05"",""OB_SECOND_INTERVIEW_PANEL_01_HIRING_MANAGER_EV_APP0059_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_05"",""OB_SECOND_INTERVIEW_PANEL_01_ML_ENGINEER_EV_APP0059_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_05""]",SHARED_SCOPE_CONFIRMED
EV_APP0146_FINAL_REVIEW_FOCUSED_FOLLOW_UP_M1_SKILL_04,FD_APP0146_INITIAL,M1_SKILL_04,UNRESOLVED_EVIDENCE,앞선 검증 미실행의 범위를 재확인하고 요청한 검증을 수행했는가? 대상: EV_APP0146_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_04 / 원문에 해당 행동을 확인할 내용이 없다. 능력 부재를 뜻하지 않는다. / 학습·협업 행동의 상황·행동·피드백 확인,"[""EV_APP0146_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_04"",""EV_APP0146_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_04"",""EV_APP0146_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_04""]","[""OB_DOCUMENT_SCREEN_PANEL_01_RECRUITER_EV_APP0146_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_04"",""OB_FIRST_PANEL_10_HIRING_MANAGER_EV_APP0146_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_04"",""OB_FIRST_PANEL_10_ML_ENGINEER_EV_APP0146_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_04"",""OB_FIRST_PANEL_10_TECHNICAL_REVIEWER_EV_APP0146_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_04"",""OB_SECOND_INTERVIEW_PANEL_01_HIRING_MANAGER_EV_APP0146_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_04"",""OB_SECOND_INTERVIEW_PANEL_01_ML_ENGINEER_EV_APP0146_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_04""]",LIMITATION_CONFIRMED
EV_APP0151_FINAL_REVIEW_FOCUSED_FOLLOW_UP_M1_SKILL_05,FD_APP0151_INITIAL,M1_SKILL_05,EVALUATOR_DISAGREEMENT,공동 산출물 중 본인이 수행하고 검증한 범위를 기록으로 분리할 수 있는가? 대상: EV_APP0151_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_05 / 팀 산출물에서 개인의 검증 범위를 분리할 수 없다. / 학습·협업 행동의 상황·행동·피드백 확인,"[""EV_APP0151_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_05"",""EV_APP0151_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_05"",""EV_APP0151_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_05""]","[""OB_DOCUMENT_SCREEN_PANEL_01_RECRUITER_EV_APP0151_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_05"",""OB_FIRST_PANEL_04_HIRING_MANAGER_EV_APP0151_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_05"",""OB_FIRST_PANEL_04_ML_ENGINEER_EV_APP0151_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_05"",""OB_FIRST_PANEL_04_TECHNICAL_REVIEWER_EV_APP0151_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_05"",""OB_SECOND_INTERVIEW_PANEL_01_HIRING_MANAGER_EV_APP0151_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_05"",""OB_SECOND_INTERVIEW_PANEL_01_ML_ENGINEER_EV_APP0151_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_05""]",OWNERSHIP_STILL_AMBIGUOUS
