assignment_event_id,stage_event_id,reservation_id,event_type,person_hours,effective_at,activity_id,participant_id,reason_code
ASG_000000,APP0002_FIRST_INTERVIEW,RSV_APP0002_FIRST_INTERVIEW,RESERVED,3,2026-12-08T14:04:00+09:00,,,SCHEDULED_ALLOCATION
ASG_000001,APP0002_FIRST_INTERVIEW,RSV_APP0002_FIRST_INTERVIEW,CONSUMED,1.0,2026-12-14T10:00:00+09:00,APP0002_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION,FIRST_PANEL_01_ML_ENGINEER,ACTUAL_PARTICIPATION
ASG_000002,APP0002_FIRST_INTERVIEW,RSV_APP0002_FIRST_INTERVIEW,CONSUMED,1.0,2026-12-14T10:00:00+09:00,APP0002_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION,FIRST_PANEL_01_HIRING_MANAGER,ACTUAL_PARTICIPATION
ASG_000003,APP0002_FIRST_INTERVIEW,RSV_APP0002_FIRST_INTERVIEW,CONSUMED,1.0,2026-12-14T10:00:00+09:00,APP0002_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION,FIRST_PANEL_01_TECHNICAL_REVIEWER,ACTUAL_PARTICIPATION
ASG_000004,APP0003_FIRST_INTERVIEW,RSV_APP0003_FIRST_INTERVIEW,RESERVED,3,2026-12-08T14:04:00+09:00,,,SCHEDULED_ALLOCATION
ASG_000005,APP0003_FIRST_INTERVIEW,RSV_APP0003_FIRST_INTERVIEW,CONSUMED,1.0,2026-12-14T10:00:00+09:00,APP0003_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION,FIRST_PANEL_02_ML_ENGINEER,ACTUAL_PARTICIPATION
ASG_000006,APP0003_FIRST_INTERVIEW,RSV_APP0003_FIRST_INTERVIEW,CONSUMED,1.0,2026-12-14T10:00:00+09:00,APP0003_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION,FIRST_PANEL_02_HIRING_MANAGER,ACTUAL_PARTICIPATION
ASG_000007,APP0003_FIRST_INTERVIEW,RSV_APP0003_FIRST_INTERVIEW,CONSUMED,1.0,2026-12-14T10:00:00+09:00,APP0003_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION,FIRST_PANEL_02_TECHNICAL_REVIEWER,ACTUAL_PARTICIPATION
ASG_000008,APP0004_FIRST_INTERVIEW,RSV_APP0004_FIRST_INTERVIEW,RESERVED,3,2026-12-08T14:04:00+09:00,,,SCHEDULED_ALLOCATION
ASG_000009,APP0004_FIRST_INTERVIEW,RSV_APP0004_FIRST_INTERVIEW,RELEASED,3.0,2026-12-15T09:00:00+09:00,,,NO_RESPONSE_UNUSED
