employee_id,source_candidate_id,joined_at,onboarding_started_at,planned_ready_at
EMP_C0012,C0012,2027-03-01T09:00:00+09:00,2027-03-01T09:00:00+09:00,2027-08-28T09:00:00+09:00
EMP_C0102,C0102,2027-03-01T09:00:00+09:00,2027-03-01T09:00:00+09:00,2027-08-28T09:00:00+09:00
EMP_C0050,C0050,2027-03-01T09:00:00+09:00,2027-03-01T09:00:00+09:00,2027-08-28T09:00:00+09:00
EMP_C0113,C0113,2027-03-01T09:00:00+09:00,2027-03-01T09:00:00+09:00,2027-08-28T09:00:00+09:00
EMP_C0135,C0135,2027-03-05T11:05:00+09:00,2027-03-05T11:05:00+09:00,2027-09-01T11:05:00+09:00
EMP_C0131,C0131,2027-03-01T09:00:00+09:00,2027-03-01T09:00:00+09:00,2027-08-28T09:00:00+09:00
EMP_C0166,C0166,2027-03-13T11:15:00+09:00,2027-03-13T11:15:00+09:00,2027-09-09T11:15:00+09:00
EMP_C0181,C0181,2027-03-20T11:35:00+09:00,2027-03-20T11:35:00+09:00,2027-09-16T11:35:00+09:00
EMP_C0225,C0225,2027-03-12T11:05:00+09:00,2027-03-12T11:05:00+09:00,2027-09-08T11:05:00+09:00
EMP_C0238,C0238,2027-03-27T11:10:00+09:00,2027-03-27T11:10:00+09:00,2027-09-23T11:10:00+09:00
EMP_C0300,C0300,2027-03-24T11:25:00+09:00,2027-03-24T11:25:00+09:00,2027-09-20T11:25:00+09:00
