offer_id,application_id,candidate_id,offered_at,expected_join_at,response_deadline
OF_APP0010,APP0010,C0010,2027-01-15T13:05:00+09:00,2027-03-01T09:00:00+09:00,2027-01-29T13:05:00+09:00
OF_APP0014,APP0014,C0014,2027-01-19T12:40:00+09:00,2027-03-01T09:00:00+09:00,2027-02-02T12:40:00+09:00
OF_APP0012,APP0012,C0012,2027-01-13T13:35:00+09:00,2027-03-01T09:00:00+09:00,2027-01-27T13:35:00+09:00
OF_APP0037,APP0037,C0037,2027-01-25T14:35:00+09:00,2027-03-01T09:00:00+09:00,2027-02-08T14:35:00+09:00
OF_APP0039,APP0039,C0039,2027-01-23T12:35:00+09:00,2027-03-01T09:00:00+09:00,2027-02-06T12:35:00+09:00
OF_APP0021,APP0021,C0021,2027-01-22T14:20:00+09:00,2027-03-01T09:00:00+09:00,2027-02-05T14:20:00+09:00
OF_APP0045,APP0045,C0045,2027-01-24T15:40:00+09:00,2027-03-01T09:00:00+09:00,2027-02-07T15:40:00+09:00
OF_APP0040,APP0040,C0040,2027-01-22T11:50:00+09:00,2027-03-01T09:00:00+09:00,2027-02-05T11:50:00+09:00
OF_APP0058,APP0058,C0058,2027-01-30T13:45:00+09:00,2027-03-01T09:00:00+09:00,2027-02-13T13:45:00+09:00
OF_APP0007,APP0007,C0007,2027-01-21T11:50:00+09:00,2027-03-01T09:00:00+09:00,2027-02-04T11:50:00+09:00
OF_APP0077,APP0077,C0077,2027-01-21T11:55:00+09:00,2027-03-01T09:00:00+09:00,2027-02-04T11:55:00+09:00
OF_APP0050,APP0050,C0050,2027-01-21T13:00:00+09:00,2027-03-01T09:00:00+09:00,2027-02-04T13:00:00+09:00
OF_APP0061,APP0061,C0061,2027-02-01T14:15:00+09:00,2027-03-01T09:00:00+09:00,2027-02-15T14:15:00+09:00
OF_APP0048,APP0048,C0048,2027-02-02T16:40:00+09:00,2027-03-02T16:40:00+09:00,2027-02-16T16:40:00+09:00
OF_APP0070,APP0070,C0070,2027-02-03T12:15:00+09:00,2027-03-01T09:00:00+09:00,2027-02-17T12:15:00+09:00
OF_APP0076,APP0076,C0076,2027-02-03T17:00:00+09:00,2027-03-01T09:00:00+09:00,2027-02-17T17:00:00+09:00
OF_APP0128,APP0128,C0128,2027-02-03T17:45:00+09:00,2027-03-03T17:45:00+09:00,2027-02-17T17:45:00+09:00
OF_APP0079,APP0079,C0079,2027-02-01T19:20:00+09:00,2027-03-01T19:20:00+09:00,2027-02-15T19:20:00+09:00
OF_APP0078,APP0078,C0078,2027-02-09T13:10:00+09:00,2027-03-01T09:00:00+09:00,2027-02-23T13:10:00+09:00
