decision_id,evidence_id
DC_APP0010_M1_SKILL_01_000000,EV_APP0010_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_01
DC_APP0010_M1_SKILL_02_000001,EV_APP0010_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_02
DC_APP0010_M1_SKILL_03_000002,EV_APP0010_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_03
DC_APP0010_M1_SKILL_04_000003,EV_APP0010_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_04
DC_APP0010_M1_SKILL_05_000004,EV_APP0010_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_05
DC_APP0010_M1_SKILL_06_000005,EV_APP0010_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_06
DC_APP0010_M1_SKILL_07_000006,EV_APP0010_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_07
DC_APP0010_M1_SKILL_08_000007,EV_APP0010_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_08
DC_APP0010_M1_SKILL_09_000008,EV_APP0010_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_09
DC_APP0009_M1_SKILL_01_000009,EV_APP0009_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_01
DC_APP0009_M1_SKILL_02_000010,EV_APP0009_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_02
DC_APP0009_M1_SKILL_03_000011,EV_APP0009_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_03
DC_APP0009_M1_SKILL_04_000012,EV_APP0009_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_04
DC_APP0009_M1_SKILL_05_000013,EV_APP0009_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_05
DC_APP0009_M1_SKILL_06_000014,EV_APP0009_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_06
DC_APP0009_M1_SKILL_07_000015,EV_APP0009_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_07
DC_APP0009_M1_SKILL_08_000016,EV_APP0009_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_08
DC_APP0009_M1_SKILL_09_000017,EV_APP0009_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_09
DC_APP0013_M1_SKILL_01_000018,EV_APP0013_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_01
DC_APP0013_M1_SKILL_02_000019,EV_APP0013_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_02
DC_APP0013_M1_SKILL_03_000020,EV_APP0013_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_03
DC_APP0013_M1_SKILL_04_000021,EV_APP0013_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_04
DC_APP0013_M1_SKILL_05_000022,EV_APP0013_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_05
