workforce_event_id,employee_id,event_type,effective_at,source_ref,confirmed_by,confirmed_at,decision_provenance
WF_EMP_C0012_JOINED,EMP_C0012,JOINED,2027-03-01T09:00:00+09:00,offers.csv#OF_APP0012,,,
WF_EMP_C0012_ONBOARDING_STARTED,EMP_C0012,ONBOARDING_STARTED,2027-03-01T09:00:00+09:00,onboarding_profiles.csv#EMP_C0012,,,
WF_EMP_C0012_RAMP_UP_EXTENDED,EMP_C0012,RAMP_UP_EXTENDED,2027-08-31T09:00:00+09:00,onboarding_tasks.csv#TASK_EMP_C0012_01/work_evidence,MENTOR_POOL_01,2027-08-31T09:00:00+09:00,SYNTHETIC_HUMAN_SCENARIO
WF_EMP_C0102_JOINED,EMP_C0102,JOINED,2027-03-01T09:00:00+09:00,offers.csv#OF_APP0102,,,
WF_EMP_C0102_ONBOARDING_STARTED,EMP_C0102,ONBOARDING_STARTED,2027-03-01T09:00:00+09:00,onboarding_profiles.csv#EMP_C0102,,,
WF_EMP_C0102_READY_CONFIRMED,EMP_C0102,READY_CONFIRMED,2027-08-31T09:00:00+09:00,"{""gap_ids"":[""GAP_EMP_C0102_M1_SKILL_06""],""human_rationale"":""개인별 필요한 업무/Gap의 검증과 후속 확인을 검토하여 업무 수행 준비를 확인했다."",""work_evidence_refs"":[""onboarding_tasks.csv#TASK_EMP_C0102_01/work_evidence"",""onboarding_tasks.csv#TASK_EMP_C0102_02/work_evidence"",""onboarding_tasks.csv#TASK_EMP_C0102_03/work_evidence""]}",MENTOR_POOL_01,2027-08-31T09:00:00+09:00,SYNTHETIC_HUMAN_SCENARIO
WF_EMP_C0050_JOINED,EMP_C0050,JOINED,2027-03-01T09:00:00+09:00,offers.csv#OF_APP0050,,,
WF_EMP_C0050_ONBOARDING_STARTED,EMP_C0050,ONBOARDING_STARTED,2027-03-01T09:00:00+09:00,onboarding_profiles.csv#EMP_C0050,,,
WF_EMP_C0050_RAMP_UP_EXTENDED,EMP_C0050,RAMP_UP_EXTENDED,2027-09-11T09:00:00+09:00,onboarding_tasks.csv#TASK_EMP_C0050_05/work_evidence,MENTOR_POOL_01,2027-09-11T09:00:00+09:00,SYNTHETIC_HUMAN_SCENARIO
WF_EMP_C0113_JOINED,EMP_C0113,JOINED,2027-03-01T09:00:00+09:00,offers.csv#OF_APP0113,,,
WF_EMP_C0113_ONBOARDING_STARTED,EMP_C0113,ONBOARDING_STARTED,2027-03-01T09:00:00+09:00,onboarding_profiles.csv#EMP_C0113,,,
WF_EMP_C0113_READY_CONFIRMED,EMP_C0113,READY_CONFIRMED,2027-09-04T09:00:00+09:00,"{""gap_ids"":[""GAP_EMP_C0113_M1_SKILL_05""],""human_rationale"":""개인별 필요한 업무/Gap의 검증과 후속 확인을 검토하여 업무 수행 준비를 확인했다."",""work_evidence_refs"":[""onboarding_tasks.csv#TASK_EMP_C0113_01/work_evidence"",""onboarding_tasks.csv#TASK_EMP_C0113_02/work_evidence"",""onboarding_tasks.csv#TASK_EMP_C0113_03/work_evidence""]}",MENTOR_POOL_01,2027-09-04T09:00:00+09:00,SYNTHETIC_HUMAN_SCENARIO
WF_EMP_C0135_JOINED,EMP_C0135,JOINED,2027-03-05T11:05:00+09:00,offers.csv#OF_APP0135,,,
WF_EMP_C0135_ONBOARDING_STARTED,EMP_C0135,ONBOARDING_STARTED,2027-03-05T11:05:00+09:00,onboarding_profiles.csv#EMP_C0135,,,
WF_EMP_C0135_RAMP_UP_EXTENDED,EMP_C0135,RAMP_UP_EXTENDED,2027-09-08T11:05:00+09:00,onboarding_tasks.csv#TASK_EMP_C0135_01/work_evidence,MENTOR_POOL_01,2027-09-08T11:05:00+09:00,SYNTHETIC_HUMAN_SCENARIO
WF_EMP_C0131_JOINED,EMP_C0131,JOINED,2027-03-01T09:00:00+09:00,offers.csv#OF_APP0131,,,
WF_EMP_C0131_ONBOARDING_STARTED,EMP_C0131,ONBOARDING_STARTED,2027-03-01T09:00:00+09:00,onboarding_profiles.csv#EMP_C0131,,,
WF_EMP_C0131_READY_CONFIRMED,EMP_C0131,READY_CONFIRMED,2027-09-11T09:00:00+09:00,"{""gap_ids"":[""GAP_EMP_C0131_M1_SKILL_05""],""human_rationale"":""개인별 필요한 업무/Gap의 검증과 후속 확인을 검토하여 업무 수행 준비를 확인했다."",""work_evidence_refs"":[""onboarding_tasks.csv#TASK_EMP_C0131_01/work_evidence"",""onboarding_tasks.csv#TASK_EMP_C0131_02/work_evidence"",""onboarding_tasks.csv#TASK_EMP_C0131_03/work_evidence""]}",MENTOR_POOL_01,2027-09-11T09:00:00+09:00,SYNTHETIC_HUMAN_SCENARIO
WF_EMP_C0166_JOINED,EMP_C0166,JOINED,2027-03-13T11:15:00+09:00,offers.csv#OF_APP0166,,,
WF_EMP_C0166_ONBOARDING_STARTED,EMP_C0166,ONBOARDING_STARTED,2027-03-13T11:15:00+09:00,onboarding_profiles.csv#EMP_C0166,,,
