offer_event_id,offer_id,event_type,occurred_at,reason_code
OF_APP0010_OFFERED,OF_APP0010,OFFERED,2027-01-15T13:05:00+09:00,
OF_APP0010_ACCEPTED,OF_APP0010,ACCEPTED,2027-01-17T13:05:00+09:00,
OF_APP0014_OFFERED,OF_APP0014,OFFERED,2027-01-19T12:40:00+09:00,
OF_APP0014_ACCEPTED,OF_APP0014,ACCEPTED,2027-01-29T12:40:00+09:00,
OF_APP0012_OFFERED,OF_APP0012,OFFERED,2027-01-13T13:35:00+09:00,
OF_APP0012_ACCEPTED,OF_APP0012,ACCEPTED,2027-01-20T13:35:00+09:00,
OF_APP0037_OFFERED,OF_APP0037,OFFERED,2027-01-25T14:35:00+09:00,
OF_APP0037_ACCEPTED,OF_APP0037,ACCEPTED,2027-02-04T14:35:00+09:00,
OF_APP0039_OFFERED,OF_APP0039,OFFERED,2027-01-23T12:35:00+09:00,
OF_APP0039_ACCEPTED,OF_APP0039,ACCEPTED,2027-01-25T12:35:00+09:00,
OF_APP0021_OFFERED,OF_APP0021,OFFERED,2027-01-22T14:20:00+09:00,
OF_APP0021_ACCEPTED,OF_APP0021,ACCEPTED,2027-02-01T14:20:00+09:00,
OF_APP0045_OFFERED,OF_APP0045,OFFERED,2027-01-24T15:40:00+09:00,
OF_APP0045_DECLINED,OF_APP0045,DECLINED,2027-01-28T15:40:00+09:00,UNKNOWN
OF_APP0040_OFFERED,OF_APP0040,OFFERED,2027-01-22T11:50:00+09:00,
OF_APP0040_DECLINED,OF_APP0040,DECLINED,2027-01-26T11:50:00+09:00,UNKNOWN
OF_APP0058_OFFERED,OF_APP0058,OFFERED,2027-01-30T13:45:00+09:00,
OF_APP0058_EXPIRED,OF_APP0058,EXPIRED,2027-02-13T13:45:00+09:00,UNKNOWN
OF_APP0007_OFFERED,OF_APP0007,OFFERED,2027-01-21T11:50:00+09:00,
OF_APP0007_DECLINED,OF_APP0007,DECLINED,2027-01-31T11:50:00+09:00,UNKNOWN
OF_APP0077_OFFERED,OF_APP0077,OFFERED,2027-01-21T11:55:00+09:00,
OF_APP0077_ACCEPTED,OF_APP0077,ACCEPTED,2027-01-31T11:55:00+09:00,
OF_APP0050_OFFERED,OF_APP0050,OFFERED,2027-01-21T13:00:00+09:00,
OF_APP0050_ACCEPTED,OF_APP0050,ACCEPTED,2027-01-31T13:00:00+09:00,
OF_APP0061_OFFERED,OF_APP0061,OFFERED,2027-02-01T14:15:00+09:00,
OF_APP0061_ACCEPTED,OF_APP0061,ACCEPTED,2027-02-11T14:15:00+09:00,
OF_APP0048_OFFERED,OF_APP0048,OFFERED,2027-02-02T16:40:00+09:00,
OF_APP0048_ACCEPTED,OF_APP0048,ACCEPTED,2027-02-06T16:40:00+09:00,
OF_APP0070_OFFERED,OF_APP0070,OFFERED,2027-02-03T12:15:00+09:00,
OF_APP0070_ACCEPTED,OF_APP0070,ACCEPTED,2027-02-13T12:15:00+09:00,
OF_APP0070_PRE_JOIN_WITHDRAWAL,OF_APP0070,PRE_JOIN_WITHDRAWAL,2027-02-14T12:15:00+09:00,UNKNOWN
OF_APP0076_OFFERED,OF_APP0076,OFFERED,2027-02-03T17:00:00+09:00,
OF_APP0076_ACCEPTED,OF_APP0076,ACCEPTED,2027-02-07T17:00:00+09:00,
OF_APP0076_PRE_JOIN_WITHDRAWAL,OF_APP0076,PRE_JOIN_WITHDRAWAL,2027-02-08T17:00:00+09:00,UNKNOWN
OF_APP0128_OFFERED,OF_APP0128,OFFERED,2027-02-03T17:45:00+09:00,
OF_APP0128_ACCEPTED,OF_APP0128,ACCEPTED,2027-02-10T17:45:00+09:00,
OF_APP0079_OFFERED,OF_APP0079,OFFERED,2027-02-01T19:20:00+09:00,
OF_APP0079_ACCEPTED,OF_APP0079,ACCEPTED,2027-02-05T19:20:00+09:00,
OF_APP0078_OFFERED,OF_APP0078,OFFERED,2027-02-09T13:10:00+09:00,
OF_APP0078_ACCEPTED,OF_APP0078,ACCEPTED,2027-02-11T13:10:00+09:00,
OF_APP0096_OFFERED,OF_APP0096,OFFERED,2027-01-29T12:30:00+09:00,
OF_APP0096_EXPIRED,OF_APP0096,EXPIRED,2027-02-12T12:30:00+09:00,UNKNOWN
OF_APP0123_OFFERED,OF_APP0123,OFFERED,2027-02-10T13:15:00+09:00,
OF_APP0123_ACCEPTED,OF_APP0123,ACCEPTED,2027-02-17T13:15:00+09:00,
OF_APP0082_OFFERED,OF_APP0082,OFFERED,2027-02-03T19:45:00+09:00,
OF_APP0082_ACCEPTED,OF_APP0082,ACCEPTED,2027-02-05T19:45:00+09:00,
OF_APP0082_PRE_JOIN_WITHDRAWAL,OF_APP0082,PRE_JOIN_WITHDRAWAL,2027-02-06T19:45:00+09:00,UNKNOWN
OF_APP0102_OFFERED,OF_APP0102,OFFERED,2027-02-02T13:25:00+09:00,
OF_APP0102_ACCEPTED,OF_APP0102,ACCEPTED,2027-02-06T13:25:00+09:00,
OF_APP0068_OFFERED,OF_APP0068,OFFERED,2027-02-09T11:35:00+09:00,
OF_APP0068_ACCEPTED,OF_APP0068,ACCEPTED,2027-02-11T11:35:00+09:00,
OF_APP0140_OFFERED,OF_APP0140,OFFERED,2027-02-12T12:40:00+09:00,
OF_APP0140_ACCEPTED,OF_APP0140,ACCEPTED,2027-02-22T12:40:00+09:00,
OF_APP0116_OFFERED,OF_APP0116,OFFERED,2027-02-10T13:25:00+09:00,
OF_APP0116_DECLINED,OF_APP0116,DECLINED,2027-02-17T13:25:00+09:00,UNKNOWN
OF_APP0121_OFFERED,OF_APP0121,OFFERED,2027-02-17T15:00:00+09:00,
OF_APP0121_ACCEPTED,OF_APP0121,ACCEPTED,2027-02-19T15:00:00+09:00,
OF_APP0142_OFFERED,OF_APP0142,OFFERED,2027-02-19T14:55:00+09:00,
OF_APP0142_ACCEPTED,OF_APP0142,ACCEPTED,2027-02-26T14:55:00+09:00,
OF_APP0107_OFFERED,OF_APP0107,OFFERED,2027-02-18T17:30:00+09:00,
OF_APP0107_ACCEPTED,OF_APP0107,ACCEPTED,2027-02-28T17:30:00+09:00,
OF_APP0155_OFFERED,OF_APP0155,OFFERED,2027-02-14T12:45:00+09:00,
OF_APP0155_EXPIRED,OF_APP0155,EXPIRED,2027-02-28T12:45:00+09:00,UNKNOWN
OF_APP0113_OFFERED,OF_APP0113,OFFERED,2027-02-06T16:45:00+09:00,
OF_APP0113_ACCEPTED,OF_APP0113,ACCEPTED,2027-02-16T16:45:00+09:00,
OF_APP0124_OFFERED,OF_APP0124,OFFERED,2027-02-16T14:30:00+09:00,
OF_APP0124_EXPIRED,OF_APP0124,EXPIRED,2027-03-02T14:30:00+09:00,UNKNOWN
OF_APP0110_OFFERED,OF_APP0110,OFFERED,2027-02-24T13:15:00+09:00,
OF_APP0110_DECLINED,OF_APP0110,DECLINED,2027-03-06T13:15:00+09:00,UNKNOWN
OF_APP0135_OFFERED,OF_APP0135,OFFERED,2027-02-14T13:20:00+09:00,
OF_APP0135_ACCEPTED,OF_APP0135,ACCEPTED,2027-02-16T13:20:00+09:00,
OF_APP0151_OFFERED,OF_APP0151,OFFERED,2027-02-18T12:55:00+09:00,
OF_APP0151_ACCEPTED,OF_APP0151,ACCEPTED,2027-02-22T12:55:00+09:00,
OF_APP0175_OFFERED,OF_APP0175,OFFERED,2027-02-12T13:55:00+09:00,
OF_APP0175_ACCEPTED,OF_APP0175,ACCEPTED,2027-02-16T13:55:00+09:00,
OF_APP0164_OFFERED,OF_APP0164,OFFERED,2027-02-15T16:40:00+09:00,
OF_APP0164_ACCEPTED,OF_APP0164,ACCEPTED,2027-02-25T16:40:00+09:00,
OF_APP0136_OFFERED,OF_APP0136,OFFERED,2027-02-14T12:00:00+09:00,
OF_APP0136_DECLINED,OF_APP0136,DECLINED,2027-02-16T12:00:00+09:00,UNKNOWN
OF_APP0131_OFFERED,OF_APP0131,OFFERED,2027-02-14T13:10:00+09:00,
OF_APP0131_ACCEPTED,OF_APP0131,ACCEPTED,2027-02-21T13:10:00+09:00,
OF_APP0149_OFFERED,OF_APP0149,OFFERED,2027-02-15T14:30:00+09:00,
OF_APP0149_DECLINED,OF_APP0149,DECLINED,2027-02-22T14:30:00+09:00,UNKNOWN
OF_APP0161_OFFERED,OF_APP0161,OFFERED,2027-02-24T17:50:00+09:00,
OF_APP0161_EXPIRED,OF_APP0161,EXPIRED,2027-03-10T17:50:00+09:00,UNKNOWN
OF_APP0154_OFFERED,OF_APP0154,OFFERED,2027-03-03T18:35:00+09:00,
OF_APP0154_ACCEPTED,OF_APP0154,ACCEPTED,2027-03-13T18:35:00+09:00,
OF_APP0154_PRE_JOIN_WITHDRAWAL,OF_APP0154,PRE_JOIN_WITHDRAWAL,2027-03-14T18:35:00+09:00,UNKNOWN
OF_APP0119_OFFERED,OF_APP0119,OFFERED,2027-02-24T13:20:00+09:00,
OF_APP0119_EXPIRED,OF_APP0119,EXPIRED,2027-03-10T13:20:00+09:00,UNKNOWN
OF_APP0159_OFFERED,OF_APP0159,OFFERED,2027-02-14T12:25:00+09:00,
OF_APP0159_EXPIRED,OF_APP0159,EXPIRED,2027-02-28T12:25:00+09:00,UNKNOWN
OF_APP0148_OFFERED,OF_APP0148,OFFERED,2027-03-01T19:30:00+09:00,
OF_APP0148_ACCEPTED,OF_APP0148,ACCEPTED,2027-03-03T19:30:00+09:00,
OF_APP0194_OFFERED,OF_APP0194,OFFERED,2027-02-18T18:10:00+09:00,
OF_APP0194_ACCEPTED,OF_APP0194,ACCEPTED,2027-02-20T18:10:00+09:00,
OF_APP0167_OFFERED,OF_APP0167,OFFERED,2027-02-28T17:00:00+09:00,
OF_APP0167_ACCEPTED,OF_APP0167,ACCEPTED,2027-03-07T17:00:00+09:00,
OF_APP0199_OFFERED,OF_APP0199,OFFERED,2027-02-28T16:25:00+09:00,
OF_APP0199_ACCEPTED,OF_APP0199,ACCEPTED,2027-03-10T16:25:00+09:00,
OF_APP0186_OFFERED,OF_APP0186,OFFERED,2027-02-26T13:35:00+09:00,
OF_APP0186_ACCEPTED,OF_APP0186,ACCEPTED,2027-03-08T13:35:00+09:00,
OF_APP0162_OFFERED,OF_APP0162,OFFERED,2027-03-04T14:10:00+09:00,
OF_APP0162_EXPIRED,OF_APP0162,EXPIRED,2027-03-18T14:10:00+09:00,UNKNOWN
OF_APP0173_OFFERED,OF_APP0173,OFFERED,2027-02-23T19:50:00+09:00,
OF_APP0173_ACCEPTED,OF_APP0173,ACCEPTED,2027-02-25T19:50:00+09:00,
OF_APP0181_OFFERED,OF_APP0181,OFFERED,2027-03-01T12:00:00+09:00,
OF_APP0181_ACCEPTED,OF_APP0181,ACCEPTED,2027-03-08T12:00:00+09:00,
OF_APP0202_OFFERED,OF_APP0202,OFFERED,2027-03-03T13:40:00+09:00,
OF_APP0202_ACCEPTED,OF_APP0202,ACCEPTED,2027-03-05T13:40:00+09:00,
OF_APP0163_OFFERED,OF_APP0163,OFFERED,2027-03-03T14:10:00+09:00,
OF_APP0163_DECLINED,OF_APP0163,DECLINED,2027-03-10T14:10:00+09:00,UNKNOWN
OF_APP0166_OFFERED,OF_APP0166,OFFERED,2027-02-19T11:55:00+09:00,
OF_APP0166_ACCEPTED,OF_APP0166,ACCEPTED,2027-02-26T11:55:00+09:00,
OF_APP0225_OFFERED,OF_APP0225,OFFERED,2027-02-24T13:50:00+09:00,
OF_APP0225_ACCEPTED,OF_APP0225,ACCEPTED,2027-02-26T13:50:00+09:00,
OF_APP0182_OFFERED,OF_APP0182,OFFERED,2027-02-26T14:05:00+09:00,
OF_APP0182_ACCEPTED,OF_APP0182,ACCEPTED,2027-02-28T14:05:00+09:00,
OF_APP0209_OFFERED,OF_APP0209,OFFERED,2027-03-03T12:50:00+09:00,
OF_APP0209_ACCEPTED,OF_APP0209,ACCEPTED,2027-03-13T12:50:00+09:00,
OF_APP0235_OFFERED,OF_APP0235,OFFERED,2027-03-06T14:05:00+09:00,
OF_APP0235_ACCEPTED,OF_APP0235,ACCEPTED,2027-03-10T14:05:00+09:00,
