decision_id,observation_id
DC_APP0013_M1_SKILL_03_000000,OB_REVIEW_ML_01_EV_APP0013_PRE_ASSESSMENT_CODING_TEST_M1_SKILL_03
DC_APP0013_M1_SKILL_03_000000,OB_REVIEW_HM_01_EV_APP0013_PRE_ASSESSMENT_CODING_TEST_M1_SKILL_03
DC_APP0009_M1_SKILL_03_000001,OB_REVIEW_ML_01_EV_APP0009_PRE_ASSESSMENT_CODING_TEST_M1_SKILL_03
DC_APP0009_M1_SKILL_03_000001,OB_REVIEW_HM_01_EV_APP0009_PRE_ASSESSMENT_CODING_TEST_M1_SKILL_03
DC_APP0022_M1_SKILL_03_000002,OB_REVIEW_ML_01_EV_APP0022_PRE_ASSESSMENT_CODING_TEST_M1_SKILL_03
DC_APP0022_M1_SKILL_03_000002,OB_REVIEW_HM_01_EV_APP0022_PRE_ASSESSMENT_CODING_TEST_M1_SKILL_03
DC_APP0059_M1_SKILL_03_000003,OB_REVIEW_ML_01_EV_APP0059_PRE_ASSESSMENT_CODING_TEST_M1_SKILL_03
DC_APP0059_M1_SKILL_03_000003,OB_REVIEW_HM_01_EV_APP0059_PRE_ASSESSMENT_CODING_TEST_M1_SKILL_03
DC_APP0006_M1_SKILL_03_000004,OB_REVIEW_ML_01_EV_APP0006_PRE_ASSESSMENT_CODING_TEST_M1_SKILL_03
DC_APP0006_M1_SKILL_03_000004,OB_REVIEW_HM_01_EV_APP0006_PRE_ASSESSMENT_CODING_TEST_M1_SKILL_03
DC_APP0021_M1_SKILL_03_000005,OB_REVIEW_ML_01_EV_APP0021_PRE_ASSESSMENT_CODING_TEST_M1_SKILL_03
DC_APP0021_M1_SKILL_03_000005,OB_REVIEW_HM_01_EV_APP0021_PRE_ASSESSMENT_CODING_TEST_M1_SKILL_03
DC_APP0024_M1_SKILL_03_000006,OB_REVIEW_ML_01_EV_APP0024_PRE_ASSESSMENT_CODING_TEST_M1_SKILL_03
DC_APP0024_M1_SKILL_03_000006,OB_REVIEW_HM_01_EV_APP0024_PRE_ASSESSMENT_CODING_TEST_M1_SKILL_03
