final_decision_id,review_round,hold_reason_code,resolution_plan,follow_up_activity_id,application_id,candidate_id,must_evidence_status,remaining_uncertainty,learnable_gap_summary,decision,rationale,decided_by,decided_at,decision_provenance
FD_APP0285_INITIAL,INITIAL,EVALUATOR_DISAGREEMENT,"[{""anchor_evidence_id"":""EV_APP0285_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_04"",""context"":""학습·협업 행동의 상황·행동·피드백 확인"",""existing_evidence_ids"":[""EV_APP0285_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_04"",""EV_APP0285_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_04""],""existing_observation_ids"":[""OB_FIRST_PANEL_06_HIRING_MANAGER_EV_APP0285_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_04"",""OB_FIRST_PANEL_06_ML_ENGINEER_EV_APP0285_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_04"",""OB_FIRST_PANEL_06_TECHNICAL_REVIEWER_EV_APP0285_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_04"",""OB_SECOND_INTERVIEW_PANEL_01_HIRING_MANAGER_EV_APP0285_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_04"",""OB_SECOND_INTERVIEW_PANEL_01_ML_ENGINEER_EV_APP0285_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_04""],""method"":""BEHAVIORAL_INTERACTION"",""question"":""공동 산출물 중 본인이 수행하고 검증한 범위를 기록으로 분리할 수 있는가? 대상: EV_APP0285_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_04 / 팀 산출물에서 개인의 검증 범위를 분리할 수 없다. / 학습·협업 행동의 상황·행동·피드백 확인"",""reason"":""EVALUATOR_DISAGREEMENT"",""skill_id"":""M1_SKILL_04""}]",APP0285_FINAL_REVIEW_FOCUSED_FOLLOW_UP,APP0285,C0285,UNRESOLVED,"[""M1_SKILL_04""]",[],HOLD,"{""adverse_must"":[""M1_SKILL_04""],""decision_basis"":""EXISTING_EVIDENCE_REVIEW"",""decision_refs"":[""DC_APP0285_M1_SKILL_03_000334"",""DC_APP0285_M1_SKILL_01_000332"",""DC_APP0285_M1_SKILL_02_000333"",""DC_APP0285_M1_SKILL_04_000335"",""DC_APP0285_M1_SKILL_05_000336"",""DC_APP0285_M1_SKILL_06_000337"",""DC_APP0285_M1_SKILL_07_000338"",""DC_APP0285_M1_SKILL_08_000339""],""disagreement_must"":[""M1_SKILL_04""],""human_rationale"":""필수 근거·반복된 명시적 제한·남은 확인 질문을 검토한 합성 패널 판단."",""learnable_gaps"":[],""missing_must"":[],""must_not_decisionable"":[""M1_SKILL_04""],""repeated_must_limitations"":[],""review_round"":""INITIAL"",""rubric_id"":""M1_EVIDENCE_RUBRIC_V02"",""talent_profile"":""talent_profile.json"",""unresolved_must"":[""M1_SKILL_04""]}",FINAL_PANEL_01,2027-01-09T11:10:00+09:00,SYNTHETIC_HUMAN_SCENARIO
FD_APP0285_RE_REVIEW,RE_REVIEW,,,APP0285_FINAL_REVIEW_FOCUSED_FOLLOW_UP,APP0285,C0285,COVERED,[],[],PROCEED_TO_OFFER,"{""accepted_uncertainty_plan"":[{""action"":""확인된 수행 범위 밖의 맥락 차이를 업무 배정과 멘토 확인에서 추적"",""decision_ref"":""DC_APP0285_M1_SKILL_04_000343"",""scope"":""NONCORE_CONTEXT"",""skill_id"":""M1_SKILL_04""},{""action"":""확인된 수행 범위 밖의 맥락 차이를 업무 배정과 멘토 확인에서 추적"",""decision_ref"":""DC_APP0285_M1_SKILL_07_000346"",""scope"":""NONCORE_CONTEXT"",""skill_id"":""M1_SKILL_07""}],""adverse_must"":[],""decision_basis"":""EXISTING_EVIDENCE_REVIEW"",""decision_refs"":[""DC_APP0285_M1_SKILL_03_000342"",""DC_APP0285_M1_SKILL_01_000340"",""DC_APP0285_M1_SKILL_02_000341"",""DC_APP0285_M1_SKILL_04_000343"",""DC_APP0285_M1_SKILL_05_000344"",""DC_APP0285_M1_SKILL_06_000345"",""DC_APP0285_M1_SKILL_07_000346"",""DC_APP0285_M1_SKILL_08_000347""],""disagreement_must"":[],""human_rationale"":""모든 필수 Skill을 판단할 직접 근거와 Skill Decision을 확인하고 기존 제한/상충 기준을 검토했다. 판단 가능한 Skill의 비핵심 맥락 및 Learnable 준비 범위만 업무 지원으로 추적한다."",""learnable_gaps"":[],""missing_must"":[],""must_not_decisionable"":[],""repeated_must_limitations"":[],""review_round"":""RE_REVIEW"",""rubric_id"":""M1_EVIDENCE_RUBRIC_V02"",""talent_profile"":""talent_profile.json"",""unresolved_must"":[]}",FINAL_PANEL_01,2027-01-17T11:50:00+09:00,SYNTHETIC_HUMAN_SCENARIO
FD_APP0005_INITIAL,INITIAL,MISSING_EVIDENCE,"[{""anchor_evidence_id"":""EV_APP0005_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_04"",""context"":""학습·협업 행동의 상황·행동·피드백 확인"",""existing_evidence_ids"":[""EV_APP0005_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_04"",""EV_APP0005_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_04""],""existing_observation_ids"":[""OB_FIRST_PANEL_01_HIRING_MANAGER_EV_APP0005_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_04"",""OB_FIRST_PANEL_01_ML_ENGINEER_EV_APP0005_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_04"",""OB_FIRST_PANEL_01_TECHNICAL_REVIEWER_EV_APP0005_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_04"",""OB_SECOND_INTERVIEW_PANEL_01_HIRING_MANAGER_EV_APP0005_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_04"",""OB_SECOND_INTERVIEW_PANEL_01_ML_ENGINEER_EV_APP0005_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_04""],""method"":""BEHAVIORAL_INTERACTION"",""question"":""누락된 개인 수행 산출물과 검증 기록을 제시할 수 있는가? 대상: EV_APP0005_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_04 / 원문에 해당 행동을 확인할 내용이 없다. 능력 부재를 뜻하지 않는다. / 학습·협업 행동의 상황·행동·피드백 확인"",""reason"":""MISSING_EVIDENCE"",""skill_id"":""M1_SKILL_04""}]",APP0005_FINAL_REVIEW_FOCUSED_FOLLOW_UP,APP0005,C0005,UNRESOLVED,"[""M1_SKILL_04""]",[],HOLD,"{""adverse_must"":[],""decision_basis"":""EXISTING_EVIDENCE_REVIEW"",""decision_refs"":[""DC_APP0005_M1_SKILL_03_000350"",""DC_APP0005_M1_SKILL_01_000348"",""DC_APP0005_M1_SKILL_02_000349"",""DC_APP0005_M1_SKILL_04_000351"",""DC_APP0005_M1_SKILL_05_000352"",""DC_APP0005_M1_SKILL_06_000353"",""DC_APP0005_M1_SKILL_07_000354"",""DC_APP0005_M1_SKILL_08_000355""],""disagreement_must"":[],""human_rationale"":""필수 근거·반복된 명시적 제한·남은 확인 질문을 검토한 합성 패널 판단."",""learnable_gaps"":[],""missing_must"":[""M1_SKILL_04""],""must_not_decisionable"":[""M1_SKILL_04""],""repeated_must_limitations"":[],""review_round"":""INITIAL"",""rubric_id"":""M1_EVIDENCE_RUBRIC_V02"",""talent_profile"":""talent_profile.json"",""unresolved_must"":[""M1_SKILL_04""]}",FINAL_PANEL_01,2027-01-13T11:15:00+09:00,SYNTHETIC_HUMAN_SCENARIO
FD_APP0005_RE_REVIEW,RE_REVIEW,,,APP0005_FINAL_REVIEW_FOCUSED_FOLLOW_UP,APP0005,C0005,COVERED,[],[],PROCEED_TO_OFFER,"{""accepted_uncertainty_plan"":[{""action"":""확인된 수행 범위 밖의 맥락 차이를 업무 배정과 멘토 확인에서 추적"",""decision_ref"":""DC_APP0005_M1_SKILL_05_000360"",""scope"":""NONCORE_CONTEXT"",""skill_id"":""M1_SKILL_05""},{""action"":""확인된 수행 범위 밖의 맥락 차이를 업무 배정과 멘토 확인에서 추적"",""decision_ref"":""DC_APP0005_M1_SKILL_07_000362"",""scope"":""NONCORE_CONTEXT"",""skill_id"":""M1_SKILL_07""},{""action"":""확인된 수행 범위 밖의 맥락 차이를 업무 배정과 멘토 확인에서 추적"",""decision_ref"":""DC_APP0005_M1_SKILL_08_000363"",""scope"":""NONCORE_CONTEXT"",""skill_id"":""M1_SKILL_08""}],""adverse_must"":[],""decision_basis"":""EXISTING_EVIDENCE_REVIEW"",""decision_refs"":[""DC_APP0005_M1_SKILL_03_000358"",""DC_APP0005_M1_SKILL_01_000356"",""DC_APP0005_M1_SKILL_02_000357"",""DC_APP0005_M1_SKILL_04_000359"",""DC_APP0005_M1_SKILL_05_000360"",""DC_APP0005_M1_SKILL_06_000361"",""DC_APP0005_M1_SKILL_07_000362"",""DC_APP0005_M1_SKILL_08_000363""],""disagreement_must"":[],""human_rationale"":""모든 필수 Skill을 판단할 직접 근거와 Skill Decision을 확인하고 기존 제한/상충 기준을 검토했다. 판단 가능한 Skill의 비핵심 맥락 및 Learnable 준비 범위만 업무 지원으로 추적한다."",""learnable_gaps"":[],""missing_must"":[],""must_not_decisionable"":[],""repeated_must_limitations"":[],""review_round"":""RE_REVIEW"",""rubric_id"":""M1_EVIDENCE_RUBRIC_V02"",""talent_profile"":""talent_profile.json"",""unresolved_must"":[]}",FINAL_PANEL_01,2027-01-21T12:05:00+09:00,SYNTHETIC_HUMAN_SCENARIO
FD_APP0297_INITIAL,INITIAL,UNRESOLVED_EVIDENCE,"[{""anchor_evidence_id"":""EV_APP0297_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_05"",""context"":""학습·협업 행동의 상황·행동·피드백 확인"",""existing_evidence_ids"":[""EV_APP0297_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_05"",""EV_APP0297_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_05""],""existing_observation_ids"":[""OB_FIRST_PANEL_07_HIRING_MANAGER_EV_APP0297_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_05"",""OB_FIRST_PANEL_07_ML_ENGINEER_EV_APP0297_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_05"",""OB_FIRST_PANEL_07_TECHNICAL_REVIEWER_EV_APP0297_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_05"",""OB_SECOND_INTERVIEW_PANEL_01_HIRING_MANAGER_EV_APP0297_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_05"",""OB_SECOND_INTERVIEW_PANEL_01_ML_ENGINEER_EV_APP0297_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_05""],""method"":""BEHAVIORAL_INTERACTION"",""question"":""앞선 검증 미실행의 범위를 재확인하고 요청한 검증을 수행했는가? 대상: EV_APP0297_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_05 / 행동은 확인했지만 원문에 검증 미실행이 명시됐다. / 학습·협업 행동의 상황·행동·피드백 확인"",""reason"":""UNRESOLVED_EVIDENCE"",""skill_id"":""M1_SKILL_05""}]",APP0297_FINAL_REVIEW_FOCUSED_FOLLOW_UP,APP0297,C0297,UNRESOLVED,"[""M1_SKILL_05""]",[],HOLD,"{""adverse_must"":[""M1_SKILL_05""],""decision_basis"":""EXISTING_EVIDENCE_REVIEW"",""decision_refs"":[""DC_APP0297_M1_SKILL_03_000366"",""DC_APP0297_M1_SKILL_01_000364"",""DC_APP0297_M1_SKILL_02_000365"",""DC_APP0297_M1_SKILL_04_000367"",""DC_APP0297_M1_SKILL_05_000368"",""DC_APP0297_M1_SKILL_06_000369"",""DC_APP0297_M1_SKILL_07_000370"",""DC_APP0297_M1_SKILL_08_000371""],""disagreement_must"":[],""human_rationale"":""필수 근거·반복된 명시적 제한·남은 확인 질문을 검토한 합성 패널 판단."",""learnable_gaps"":[],""missing_must"":[],""must_not_decisionable"":[],""repeated_must_limitations"":[],""review_round"":""INITIAL"",""rubric_id"":""M1_EVIDENCE_RUBRIC_V02"",""talent_profile"":""talent_profile.json"",""unresolved_must"":[""M1_SKILL_05""]}",FINAL_PANEL_01,2027-01-06T11:05:00+09:00,SYNTHETIC_HUMAN_SCENARIO
FD_APP0297_RE_REVIEW,RE_REVIEW,,,APP0297_FINAL_REVIEW_FOCUSED_FOLLOW_UP,APP0297,C0297,COVERED,[],[],PROCEED_TO_OFFER,"{""accepted_uncertainty_plan"":[{""action"":""확인된 수행 범위 밖의 맥락 차이를 업무 배정과 멘토 확인에서 추적"",""decision_ref"":""DC_APP0297_M1_SKILL_03_000374"",""scope"":""NONCORE_CONTEXT"",""skill_id"":""M1_SKILL_03""},{""action"":""확인된 수행 범위 밖의 맥락 차이를 업무 배정과 멘토 확인에서 추적"",""decision_ref"":""DC_APP0297_M1_SKILL_05_000376"",""scope"":""NONCORE_CONTEXT"",""skill_id"":""M1_SKILL_05""},{""action"":""확인된 수행 범위 밖의 맥락 차이를 업무 배정과 멘토 확인에서 추적"",""decision_ref"":""DC_APP0297_M1_SKILL_07_000378"",""scope"":""NONCORE_CONTEXT"",""skill_id"":""M1_SKILL_07""},{""action"":""확인된 수행 범위 밖의 맥락 차이를 업무 배정과 멘토 확인에서 추적"",""decision_ref"":""DC_APP0297_M1_SKILL_08_000379"",""scope"":""NONCORE_CONTEXT"",""skill_id"":""M1_SKILL_08""}],""adverse_must"":[],""decision_basis"":""EXISTING_EVIDENCE_REVIEW"",""decision_refs"":[""DC_APP0297_M1_SKILL_03_000374"",""DC_APP0297_M1_SKILL_01_000372"",""DC_APP0297_M1_SKILL_02_000373"",""DC_APP0297_M1_SKILL_04_000375"",""DC_APP0297_M1_SKILL_05_000376"",""DC_APP0297_M1_SKILL_06_000377"",""DC_APP0297_M1_SKILL_07_000378"",""DC_APP0297_M1_SKILL_08_000379""],""disagreement_must"":[],""human_rationale"":""모든 필수 Skill을 판단할 직접 근거와 Skill Decision을 확인하고 기존 제한/상충 기준을 검토했다. 판단 가능한 Skill의 비핵심 맥락 및 Learnable 준비 범위만 업무 지원으로 추적한다."",""learnable_gaps"":[],""missing_must"":[],""must_not_decisionable"":[],""repeated_must_limitations"":[],""review_round"":""RE_REVIEW"",""rubric_id"":""M1_EVIDENCE_RUBRIC_V02"",""talent_profile"":""talent_profile.json"",""unresolved_must"":[]}",FINAL_PANEL_01,2027-01-14T11:45:00+09:00,SYNTHETIC_HUMAN_SCENARIO
FD_APP0181_INITIAL,INITIAL,,,,APP0181,C0181,COVERED,[],[],PROCEED_TO_OFFER,"{""adverse_must"":[],""decision_basis"":""EXISTING_EVIDENCE_REVIEW"",""decision_refs"":[""DC_APP0181_M1_SKILL_03_000382"",""DC_APP0181_M1_SKILL_01_000380"",""DC_APP0181_M1_SKILL_02_000381"",""DC_APP0181_M1_SKILL_04_000383"",""DC_APP0181_M1_SKILL_05_000384"",""DC_APP0181_M1_SKILL_06_000385"",""DC_APP0181_M1_SKILL_07_000386"",""DC_APP0181_M1_SKILL_08_000387""],""disagreement_must"":[],""human_rationale"":""필수 근거·반복된 명시적 제한·남은 확인 질문을 검토한 합성 패널 판단."",""learnable_gaps"":[],""missing_must"":[],""must_not_decisionable"":[],""repeated_must_limitations"":[],""review_round"":""INITIAL"",""rubric_id"":""M1_EVIDENCE_RUBRIC_V02"",""talent_profile"":""talent_profile.json"",""unresolved_must"":[]}",FINAL_PANEL_01,2027-01-15T11:35:00+09:00,SYNTHETIC_HUMAN_SCENARIO
FD_APP0228_INITIAL,INITIAL,EVALUATOR_DISAGREEMENT,"[{""anchor_evidence_id"":""EV_APP0228_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_04"",""context"":""학습·협업 행동의 상황·행동·피드백 확인"",""existing_evidence_ids"":[""EV_APP0228_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_04"",""EV_APP0228_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_04""],""existing_observation_ids"":[""OB_FIRST_PANEL_10_HIRING_MANAGER_EV_APP0228_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_04"",""OB_FIRST_PANEL_10_ML_ENGINEER_EV_APP0228_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_04"",""OB_FIRST_PANEL_10_TECHNICAL_REVIEWER_EV_APP0228_FIRST_INTERVIEW_PRACTITIONER_QA_M1_SKILL_04"",""OB_SECOND_INTERVIEW_PANEL_01_HIRING_MANAGER_EV_APP0228_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_04"",""OB_SECOND_INTERVIEW_PANEL_01_ML_ENGINEER_EV_APP0228_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_04""],""method"":""BEHAVIORAL_INTERACTION"",""question"":""공동 산출물 중 본인이 수행하고 검증한 범위를 기록으로 분리할 수 있는가? 대상: EV_APP0228_SECOND_INTERVIEW_VALUES_BEHAVIOR_INTERVIEW_M1_SKILL_04 / 원문에 해당 행동을 확인할 내용이 없다. 능력 부재를 뜻하지 않는다. / 학습·협업 행동의 상황·행동·피드백 확인"",""reason"":""EVALUATOR_DISAGREEMENT"",""skill_id"":""M1_SKILL_04""}]",APP0228_FINAL_REVIEW_FOCUSED_FOLLOW_UP,APP0228,C0228,UNRESOLVED,"[""M1_SKILL_04""]",[],HOLD,"{""adverse_must"":[],""decision_basis"":""EXISTING_EVIDENCE_REVIEW"",""decision_refs"":[""DC_APP0228_M1_SKILL_03_000390"",""DC_APP0228_M1_SKILL_01_000388"",""DC_APP0228_M1_SKILL_02_000389"",""DC_APP0228_M1_SKILL_04_000391"",""DC_APP0228_M1_SKILL_05_000392"",""DC_APP0228_M1_SKILL_06_000393"",""DC_APP0228_M1_SKILL_07_000394"",""DC_APP0228_M1_SKILL_08_000395""],""disagreement_must"":[""M1_SKILL_04""],""human_rationale"":""필수 근거·반복된 명시적 제한·남은 확인 질문을 검토한 합성 패널 판단."",""learnable_gaps"":[],""missing_must"":[],""must_not_decisionable"":[""M1_SKILL_04""],""repeated_must_limitations"":[],""review_round"":""INITIAL"",""rubric_id"":""M1_EVIDENCE_RUBRIC_V02"",""talent_profile"":""talent_profile.json"",""unresolved_must"":[""M1_SKILL_04""]}",FINAL_PANEL_01,2027-01-14T11:10:00+09:00,SYNTHETIC_HUMAN_SCENARIO
FD_APP0228_RE_REVIEW,RE_REVIEW,,,APP0228_FINAL_REVIEW_FOCUSED_FOLLOW_UP,APP0228,C0228,UNRESOLVED,"[""M1_SKILL_04""]",[],DO_NOT_PROCEED,"{""accepted_uncertainty_plan"":[],""adverse_must"":[],""decision_basis"":""INSUFFICIENT_DECISION_BASIS_AFTER_ONE_FOLLOW_UP"",""decision_refs"":[""DC_APP0228_M1_SKILL_03_000398"",""DC_APP0228_M1_SKILL_01_000396"",""DC_APP0228_M1_SKILL_02_000397"",""DC_APP0228_M1_SKILL_04_000399"",""DC_APP0228_M1_SKILL_05_000400"",""DC_APP0228_M1_SKILL_06_000401"",""DC_APP0228_M1_SKILL_07_000402"",""DC_APP0228_M1_SKILL_08_000403""],""disagreement_must"":[""M1_SKILL_04""],""human_rationale"":""한 차례 질문별 후속검증 뒤에도 필수 Skill 자체를 판단할 직접 근거가 미확보/미해결이다. 이번 채용 진행은 종료하되 역량 부족을 확인했다고 추론하지 않는다."",""learnable_gaps"":[],""missing_must"":[],""must_not_decisionable"":[""M1_SKILL_04""],""repeated_must_limitations"":[],""review_round"":""RE_REVIEW"",""rubric_id"":""M1_EVIDENCE_RUBRIC_V02"",""talent_profile"":""talent_profile.json"",""unresolved_must"":[""M1_SKILL_04""]}",FINAL_PANEL_01,2027-01-22T11:55:00+09:00,SYNTHETIC_HUMAN_SCENARIO
FD_APP0082_INITIAL,INITIAL,,,,APP0082,C0082,COVERED,[],[],PROCEED_TO_OFFER,"{""adverse_must"":[],""decision_basis"":""EXISTING_EVIDENCE_REVIEW"",""decision_refs"":[""DC_APP0082_M1_SKILL_03_000406"",""DC_APP0082_M1_SKILL_01_000404"",""DC_APP0082_M1_SKILL_02_000405"",""DC_APP0082_M1_SKILL_04_000407"",""DC_APP0082_M1_SKILL_05_000408"",""DC_APP0082_M1_SKILL_06_000409"",""DC_APP0082_M1_SKILL_07_000410"",""DC_APP0082_M1_SKILL_08_000411""],""disagreement_must"":[],""human_rationale"":""필수 근거·반복된 명시적 제한·남은 확인 질문을 검토한 합성 패널 판단."",""learnable_gaps"":[],""missing_must"":[],""must_not_decisionable"":[],""repeated_must_limitations"":[],""review_round"":""INITIAL"",""rubric_id"":""M1_EVIDENCE_RUBRIC_V02"",""talent_profile"":""talent_profile.json"",""unresolved_must"":[]}",FINAL_PANEL_01,2027-01-14T10:55:00+09:00,SYNTHETIC_HUMAN_SCENARIO
