eligibility_id,application_id,candidate_id,degree_level,graduation_status,expected_graduation_date,language_test_type,language_test_valid_until,travel_visa_eligibility,military_requirement_applicable,military_requirement_status,eligibility_reference_date,expected_join_date,requirement_states,overall_state,public_source_ref,source_provenance,date_provenance,decision_provenance
EL_APP0002,APP0002,C0002,MASTER,GRADUATED,,TOEIC_SPEAKING,2027-04-18,ELIGIBLE,NO,NOT_APPLICABLE,2026-10-20,2027-03-01,"{""degree"":""PASS"",""language"":""PASS"",""military"":""NOT_APPLICABLE"",""travel_visa"":""PASS""}",PASS,KIA-02-REPOST,PUBLIC_REPOSTED_SOURCE,SYNTHETIC_DATE_ADAPTATION,SYNTHETIC_HUMAN_SCENARIO
EL_APP0003,APP0003,C0003,BACHELOR,GRADUATED,,TOEIC_SPEAKING,2027-04-18,UNKNOWN,YES,COMPLETED,2026-10-20,2027-03-01,"{""degree"":""PASS"",""language"":""PASS"",""military"":""PASS"",""travel_visa"":""UNKNOWN""}",UNKNOWN,KIA-02-REPOST,PUBLIC_REPOSTED_SOURCE,SYNTHETIC_DATE_ADAPTATION,SYNTHETIC_HUMAN_SCENARIO
EL_APP0004,APP0004,C0004,MASTER,EXPECTED,2027-02-28,TOEIC_SPEAKING,,ELIGIBLE,YES,COMPLETED,2026-10-20,2027-03-01,"{""degree"":""PASS"",""language"":""UNKNOWN"",""military"":""PASS"",""travel_visa"":""PASS""}",UNKNOWN,KIA-02-REPOST,PUBLIC_REPOSTED_SOURCE,SYNTHETIC_DATE_ADAPTATION,SYNTHETIC_HUMAN_SCENARIO
EL_APP0005,APP0005,C0005,BACHELOR,EXPECTED,2027-02-28,OPIC,2027-04-18,UNKNOWN,YES,COMPLETED,2026-10-20,2027-03-01,"{""degree"":""PASS"",""language"":""PASS"",""military"":""PASS"",""travel_visa"":""UNKNOWN""}",UNKNOWN,KIA-02-REPOST,PUBLIC_REPOSTED_SOURCE,SYNTHETIC_DATE_ADAPTATION,SYNTHETIC_HUMAN_SCENARIO
EL_APP0006,APP0006,C0006,UNKNOWN,GRADUATED,,TOEIC_SPEAKING,2027-04-15,ELIGIBLE,NO,NOT_APPLICABLE,2026-10-17,2027-03-01,"{""degree"":""UNKNOWN"",""language"":""PASS"",""military"":""NOT_APPLICABLE"",""travel_visa"":""PASS""}",UNKNOWN,KIA-02-REPOST,PUBLIC_REPOSTED_SOURCE,SYNTHETIC_DATE_ADAPTATION,SYNTHETIC_HUMAN_SCENARIO
EL_APP0007,APP0007,C0007,BACHELOR,GRADUATED,,TOEIC_SPEAKING,2026-10-19,ELIGIBLE,YES,COMPLETED,2026-10-20,2027-03-01,"{""degree"":""PASS"",""language"":""FAIL"",""military"":""PASS"",""travel_visa"":""PASS""}",FAIL,KIA-02-REPOST,PUBLIC_REPOSTED_SOURCE,SYNTHETIC_DATE_ADAPTATION,SYNTHETIC_HUMAN_SCENARIO
EL_APP0008,APP0008,C0008,BACHELOR,GRADUATED,,TOEIC_SPEAKING,,ELIGIBLE,NO,NOT_APPLICABLE,2026-10-14,2027-03-01,"{""degree"":""PASS"",""language"":""UNKNOWN"",""military"":""NOT_APPLICABLE"",""travel_visa"":""PASS""}",UNKNOWN,KIA-02-REPOST,PUBLIC_REPOSTED_SOURCE,SYNTHETIC_DATE_ADAPTATION,SYNTHETIC_HUMAN_SCENARIO
EL_APP0009,APP0009,C0009,MASTER,GRADUATED,,TOEIC_SPEAKING,2026-10-12,ELIGIBLE,YES,COMPLETED,2026-10-13,2027-03-01,"{""degree"":""PASS"",""language"":""FAIL"",""military"":""PASS"",""travel_visa"":""PASS""}",FAIL,KIA-02-REPOST,PUBLIC_REPOSTED_SOURCE,SYNTHETIC_DATE_ADAPTATION,SYNTHETIC_HUMAN_SCENARIO
EL_APP0010,APP0010,C0010,OTHER,EXPECTED,2027-02-28,TOEIC_SPEAKING,2027-04-11,ELIGIBLE,YES,COMPLETED,2026-10-13,2027-03-01,"{""degree"":""FAIL"",""language"":""PASS"",""military"":""PASS"",""travel_visa"":""PASS""}",FAIL,KIA-02-REPOST,PUBLIC_REPOSTED_SOURCE,SYNTHETIC_DATE_ADAPTATION,SYNTHETIC_HUMAN_SCENARIO
EL_APP0012,APP0012,C0012,MASTER,GRADUATED,,TOEIC_SPEAKING,2027-04-15,ELIGIBLE,YES,NOT_COMPLETED,2026-10-17,2027-03-01,"{""degree"":""PASS"",""language"":""PASS"",""military"":""FAIL"",""travel_visa"":""PASS""}",FAIL,KIA-02-REPOST,PUBLIC_REPOSTED_SOURCE,SYNTHETIC_DATE_ADAPTATION,SYNTHETIC_HUMAN_SCENARIO
