activity_id,session_activity_id
APP0005_FIRST_INTERVIEW_TECHNICAL_ASSESSMENT,APP0005_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0005_FIRST_INTERVIEW_AI_CASE,APP0005_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0005_FIRST_INTERVIEW_PRACTITIONER_QA,APP0005_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0031_FIRST_INTERVIEW_TECHNICAL_ASSESSMENT,APP0031_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0031_FIRST_INTERVIEW_AI_CASE,APP0031_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0031_FIRST_INTERVIEW_PRACTITIONER_QA,APP0031_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0039_FIRST_INTERVIEW_TECHNICAL_ASSESSMENT,APP0039_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0039_FIRST_INTERVIEW_AI_CASE,APP0039_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0039_FIRST_INTERVIEW_PRACTITIONER_QA,APP0039_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0056_FIRST_INTERVIEW_TECHNICAL_ASSESSMENT,APP0056_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0056_FIRST_INTERVIEW_AI_CASE,APP0056_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0056_FIRST_INTERVIEW_PRACTITIONER_QA,APP0056_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0061_FIRST_INTERVIEW_TECHNICAL_ASSESSMENT,APP0061_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0061_FIRST_INTERVIEW_AI_CASE,APP0061_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0061_FIRST_INTERVIEW_PRACTITIONER_QA,APP0061_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0064_FIRST_INTERVIEW_TECHNICAL_ASSESSMENT,APP0064_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0064_FIRST_INTERVIEW_AI_CASE,APP0064_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0064_FIRST_INTERVIEW_PRACTITIONER_QA,APP0064_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0068_FIRST_INTERVIEW_TECHNICAL_ASSESSMENT,APP0068_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0068_FIRST_INTERVIEW_AI_CASE,APP0068_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0068_FIRST_INTERVIEW_PRACTITIONER_QA,APP0068_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0076_FIRST_INTERVIEW_TECHNICAL_ASSESSMENT,APP0076_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0076_FIRST_INTERVIEW_AI_CASE,APP0076_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0076_FIRST_INTERVIEW_PRACTITIONER_QA,APP0076_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0082_FIRST_INTERVIEW_TECHNICAL_ASSESSMENT,APP0082_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0082_FIRST_INTERVIEW_AI_CASE,APP0082_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0082_FIRST_INTERVIEW_PRACTITIONER_QA,APP0082_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0101_FIRST_INTERVIEW_TECHNICAL_ASSESSMENT,APP0101_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0101_FIRST_INTERVIEW_AI_CASE,APP0101_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0101_FIRST_INTERVIEW_PRACTITIONER_QA,APP0101_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0128_FIRST_INTERVIEW_TECHNICAL_ASSESSMENT,APP0128_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0128_FIRST_INTERVIEW_AI_CASE,APP0128_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0128_FIRST_INTERVIEW_PRACTITIONER_QA,APP0128_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0141_FIRST_INTERVIEW_TECHNICAL_ASSESSMENT,APP0141_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0141_FIRST_INTERVIEW_AI_CASE,APP0141_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0141_FIRST_INTERVIEW_PRACTITIONER_QA,APP0141_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0143_FIRST_INTERVIEW_TECHNICAL_ASSESSMENT,APP0143_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0143_FIRST_INTERVIEW_AI_CASE,APP0143_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0143_FIRST_INTERVIEW_PRACTITIONER_QA,APP0143_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0150_FIRST_INTERVIEW_TECHNICAL_ASSESSMENT,APP0150_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0150_FIRST_INTERVIEW_AI_CASE,APP0150_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0150_FIRST_INTERVIEW_PRACTITIONER_QA,APP0150_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0153_FIRST_INTERVIEW_TECHNICAL_ASSESSMENT,APP0153_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0153_FIRST_INTERVIEW_AI_CASE,APP0153_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0153_FIRST_INTERVIEW_PRACTITIONER_QA,APP0153_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0181_FIRST_INTERVIEW_TECHNICAL_ASSESSMENT,APP0181_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0181_FIRST_INTERVIEW_AI_CASE,APP0181_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0181_FIRST_INTERVIEW_PRACTITIONER_QA,APP0181_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0189_FIRST_INTERVIEW_TECHNICAL_ASSESSMENT,APP0189_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0189_FIRST_INTERVIEW_AI_CASE,APP0189_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0189_FIRST_INTERVIEW_PRACTITIONER_QA,APP0189_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0193_FIRST_INTERVIEW_TECHNICAL_ASSESSMENT,APP0193_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0193_FIRST_INTERVIEW_AI_CASE,APP0193_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0193_FIRST_INTERVIEW_PRACTITIONER_QA,APP0193_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0223_FIRST_INTERVIEW_TECHNICAL_ASSESSMENT,APP0223_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0223_FIRST_INTERVIEW_AI_CASE,APP0223_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0223_FIRST_INTERVIEW_PRACTITIONER_QA,APP0223_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0228_FIRST_INTERVIEW_TECHNICAL_ASSESSMENT,APP0228_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0228_FIRST_INTERVIEW_AI_CASE,APP0228_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0228_FIRST_INTERVIEW_PRACTITIONER_QA,APP0228_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0237_FIRST_INTERVIEW_TECHNICAL_ASSESSMENT,APP0237_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0237_FIRST_INTERVIEW_AI_CASE,APP0237_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0237_FIRST_INTERVIEW_PRACTITIONER_QA,APP0237_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0238_FIRST_INTERVIEW_TECHNICAL_ASSESSMENT,APP0238_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0238_FIRST_INTERVIEW_AI_CASE,APP0238_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0238_FIRST_INTERVIEW_PRACTITIONER_QA,APP0238_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0268_FIRST_INTERVIEW_TECHNICAL_ASSESSMENT,APP0268_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0268_FIRST_INTERVIEW_AI_CASE,APP0268_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0268_FIRST_INTERVIEW_PRACTITIONER_QA,APP0268_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0270_FIRST_INTERVIEW_TECHNICAL_ASSESSMENT,APP0270_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0270_FIRST_INTERVIEW_AI_CASE,APP0270_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0270_FIRST_INTERVIEW_PRACTITIONER_QA,APP0270_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0285_FIRST_INTERVIEW_TECHNICAL_ASSESSMENT,APP0285_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0285_FIRST_INTERVIEW_AI_CASE,APP0285_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
APP0285_FIRST_INTERVIEW_PRACTITIONER_QA,APP0285_FIRST_INTERVIEW_FIRST_INTERVIEW_SESSION
