evidence_id,activity_id,application_id,candidate_id,source_type,source_ref,raw_evidence,created_at
EV_APP0010_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_01,APP0010_DOCUMENT_SCREEN_DOCUMENT_REVIEW,APP0010,C0010,APPLICATION_RESPONSE,assessment_evidence.csv#EV_APP0010_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_01/raw_evidence,"{""action"":"""",""ownership"":""UNSPECIFIED"",""response"":""해당 작업을 설명하는 답변이 기록되지 않았다."",""revision"":"""",""task"":""문제 구조화"",""verification"":""""}",2026-10-20T10:11:00+09:00
EV_APP0010_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_02,APP0010_DOCUMENT_SCREEN_DOCUMENT_REVIEW,APP0010,C0010,APPLICATION_RESPONSE,assessment_evidence.csv#EV_APP0010_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_02/raw_evidence,"{""action"":""평균 오차와 구간별 편차를 따로 비교했다"",""ownership"":""SELF"",""response"":""이 작업은 내가 수행했다."",""revision"":"""",""task"":""ML/수리적 사고 기초"",""verification"":""학습 구간과 검증 구간의 중복을 확인했다""}",2026-10-20T10:11:00+09:00
EV_APP0010_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_03,APP0010_DOCUMENT_SCREEN_DOCUMENT_REVIEW,APP0010,C0010,APPLICATION_RESPONSE,assessment_evidence.csv#EV_APP0010_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_03/raw_evidence,"{""action"":""작업 의존 순서를 반영하는 함수를 작성했다"",""ownership"":""SELF"",""response"":""이 작업은 내가 수행했다."",""revision"":"""",""task"":""알고리즘 구현 및 검증"",""verification"":""빈 입력과 순환 의존의 재현 테스트를 실행했다""}",2026-10-20T10:11:00+09:00
EV_APP0010_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_04,APP0010_DOCUMENT_SCREEN_DOCUMENT_REVIEW,APP0010,C0010,APPLICATION_RESPONSE,assessment_evidence.csv#EV_APP0010_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_04/raw_evidence,"{""action"":""새 도구의 설명과 작은 실행 예제를 비교했다"",""ownership"":""SELF"",""response"":""이 작업은 내가 수행했다."",""revision"":"""",""task"":""새로운 기술 학습"",""verification"":""추가 검증은 실행하지 않았다.""}",2026-10-20T10:11:00+09:00
EV_APP0010_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_05,APP0010_DOCUMENT_SCREEN_DOCUMENT_REVIEW,APP0010,C0010,APPLICATION_RESPONSE,assessment_evidence.csv#EV_APP0010_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_05/raw_evidence,"{""action"":""담당 부분과 검토 요청을 동료에게 문서로 전달했다"",""ownership"":""SELF"",""response"":""이 작업은 내가 수행했다."",""revision"":""검증에서 발견한 예외 입력의 처리 분기를 수정한 뒤 같은 입력으로 다시 확인했다."",""task"":""협업 및 기술 커뮤니케이션"",""verification"":""동료 피드백과 수정 내역을 함께 기록했다""}",2026-10-20T10:11:00+09:00
EV_APP0010_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_06,APP0010_DOCUMENT_SCREEN_DOCUMENT_REVIEW,APP0010,C0010,APPLICATION_RESPONSE,assessment_evidence.csv#EV_APP0010_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_06/raw_evidence,"{""action"":""실패한 배치 작업을 격리하는 절차를 정리했다"",""ownership"":""SELF"",""response"":""이 작업은 내가 수행했다."",""revision"":"""",""task"":""Production 경험"",""verification"":""재시도 중복과 복구 로그를 점검했다""}",2026-10-20T10:11:00+09:00
EV_APP0010_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_07,APP0010_DOCUMENT_SCREEN_DOCUMENT_REVIEW,APP0010,C0010,APPLICATION_RESPONSE,assessment_evidence.csv#EV_APP0010_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_07/raw_evidence,"{""action"":""논문 알고리즘의 작은 구현 예제를 작성했다"",""ownership"":""SELF"",""response"":""이 작업은 내가 수행했다."",""revision"":"""",""task"":""논문/알고리즘 구현 경험"",""verification"":""기준 구현과 동일 입력의 결과를 비교했다""}",2026-10-20T10:11:00+09:00
EV_APP0010_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_08,APP0010_DOCUMENT_SCREEN_DOCUMENT_REVIEW,APP0010,C0010,APPLICATION_RESPONSE,assessment_evidence.csv#EV_APP0010_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_08/raw_evidence,"{""action"":"""",""ownership"":""UNSPECIFIED"",""response"":""해당 작업을 설명하는 답변이 기록되지 않았다."",""revision"":"""",""task"":""관련 연구/프로젝트"",""verification"":""""}",2026-10-20T10:11:00+09:00
EV_APP0010_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_09,APP0010_DOCUMENT_SCREEN_DOCUMENT_REVIEW,APP0010,C0010,APPLICATION_RESPONSE,assessment_evidence.csv#EV_APP0010_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_09/raw_evidence,"{""action"":""기술 문서의 설정 조건을 설명했다"",""ownership"":""SELF"",""response"":""이 작업은 내가 수행했다."",""revision"":"""",""task"":""필요시 Business English"",""verification"":""추가 검증은 실행하지 않았다.""}",2026-10-20T10:11:00+09:00
EV_APP0009_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_01,APP0009_DOCUMENT_SCREEN_DOCUMENT_REVIEW,APP0009,C0009,APPLICATION_RESPONSE,assessment_evidence.csv#EV_APP0009_DOCUMENT_SCREEN_DOCUMENT_REVIEW_M1_SKILL_01/raw_evidence,"{""action"":"""",""ownership"":""UNSPECIFIED"",""response"":""해당 작업을 설명하는 답변이 기록되지 않았다."",""revision"":"""",""task"":""문제 구조화"",""verification"":""""}",2026-10-16T11:14:00+09:00
