task_id,candidate_id,employee_id,milestone,task_type,related_skill_id,planned_at,assigned_at,completed_at,evidence_ref,work_evidence,status,mentor_confirmed,decision_provenance
TASK_EMP_C0181_01,C0181,EMP_C0181,MONTH_1,ENVIRONMENT_CHECK,M1_SKILL_03,2027-03-01T09:00:00+09:00,2027-03-31T09:00:00+09:00,2027-04-03T09:00:00+09:00,onboarding_tasks.csv#TASK_EMP_C0181_01/work_evidence,"{""artifact_id"":""WORK_TASK_EMP_C0181_01"",""evidence_type"":""SYNTHETIC"",""observed_at"":""2027-04-03T09:00:00+09:00"",""performed_action"":""업무 요구에 맞춰 작은 산출물을 만들고 실행/검토 기록을 남겼다."",""revision"":"""",""skill_id"":""M1_SKILL_03"",""task"":""ENVIRONMENT_CHECK"",""verification"":""OUTPUT_AND_RECOVERY_CHECKED""}",COMPLETED,false,SYNTHETIC_HUMAN_SCENARIO
TASK_EMP_C0181_02,C0181,EMP_C0181,MONTH_3,PIPELINE_REVIEW,M1_SKILL_03,2027-03-01T09:00:00+09:00,2027-05-30T09:00:00+09:00,2027-06-06T09:00:00+09:00,onboarding_tasks.csv#TASK_EMP_C0181_02/work_evidence,"{""artifact_id"":""WORK_TASK_EMP_C0181_02"",""evidence_type"":""SYNTHETIC"",""observed_at"":""2027-06-06T09:00:00+09:00"",""performed_action"":""업무 요구에 맞춰 작은 산출물을 만들고 실행/검토 기록을 남겼다."",""revision"":"""",""skill_id"":""M1_SKILL_03"",""task"":""PIPELINE_REVIEW"",""verification"":""OUTPUT_AND_RECOVERY_CHECKED""}",COMPLETED,true,SYNTHETIC_HUMAN_SCENARIO
TASK_EMP_C0181_03,C0181,EMP_C0181,MONTH_6,WORK_TASK,M1_SKILL_03,2027-03-01T09:00:00+09:00,2027-08-28T09:00:00+09:00,2027-08-28T09:00:00+09:00,onboarding_tasks.csv#TASK_EMP_C0181_03/work_evidence,"{""artifact_id"":""WORK_TASK_EMP_C0181_03"",""evidence_type"":""SYNTHETIC"",""observed_at"":""2027-08-28T09:00:00+09:00"",""performed_action"":""업무 요구에 맞춰 작은 산출물을 만들고 실행/검토 기록을 남겼다."",""revision"":"""",""skill_id"":""M1_SKILL_03"",""task"":""WORK_TASK"",""verification"":""OUTPUT_AND_RECOVERY_CHECKED""}",COMPLETED,true,SYNTHETIC_HUMAN_SCENARIO
TASK_EMP_C0181_04,C0181,EMP_C0181,EXTENDED,FOLLOW_UP_WORK,M1_SKILL_03,2027-03-01T09:00:00+09:00,2027-09-27T09:00:00+09:00,2027-09-27T09:00:00+09:00,onboarding_tasks.csv#TASK_EMP_C0181_04/work_evidence,"{""artifact_id"":""WORK_TASK_EMP_C0181_04"",""evidence_type"":""SYNTHETIC"",""observed_at"":""2027-09-27T09:00:00+09:00"",""performed_action"":""업무 요구에 맞춰 작은 산출물을 만들고 실행/검토 기록을 남겼다."",""revision"":"""",""skill_id"":""M1_SKILL_03"",""task"":""FOLLOW_UP_WORK"",""verification"":""OUTPUT_AND_RECOVERY_CHECKED""}",COMPLETED,true,SYNTHETIC_HUMAN_SCENARIO
TASK_EMP_C0285_01,C0285,EMP_C0285,MONTH_1,ENVIRONMENT_CHECK,,2027-03-01T09:00:00+09:00,2027-03-31T09:00:00+09:00,2027-04-07T09:00:00+09:00,onboarding_tasks.csv#TASK_EMP_C0285_01/work_evidence,"{""artifact_id"":""WORK_TASK_EMP_C0285_01"",""evidence_type"":""SYNTHETIC"",""observed_at"":""2027-04-07T09:00:00+09:00"",""performed_action"":""업무 요구에 맞춰 작은 산출물을 만들고 실행/검토 기록을 남겼다."",""revision"":"""",""skill_id"":"""",""task"":""ENVIRONMENT_CHECK"",""verification"":""OUTPUT_AND_RECOVERY_CHECKED""}",COMPLETED,true,SYNTHETIC_HUMAN_SCENARIO
TASK_EMP_C0285_02,C0285,EMP_C0285,MONTH_3,PIPELINE_REVIEW,,2027-03-01T09:00:00+09:00,2027-05-30T09:00:00+09:00,2027-05-30T09:00:00+09:00,onboarding_tasks.csv#TASK_EMP_C0285_02/work_evidence,"{""artifact_id"":""WORK_TASK_EMP_C0285_02"",""evidence_type"":""SYNTHETIC"",""observed_at"":""2027-05-30T09:00:00+09:00"",""performed_action"":""업무 요구에 맞춰 작은 산출물을 만들고 실행/검토 기록을 남겼다."",""revision"":"""",""skill_id"":"""",""task"":""PIPELINE_REVIEW"",""verification"":""OUTPUT_AND_RECOVERY_CHECKED""}",COMPLETED,true,SYNTHETIC_HUMAN_SCENARIO
TASK_EMP_C0285_03,C0285,EMP_C0285,MONTH_6,WORK_TASK,,2027-03-01T09:00:00+09:00,2027-08-28T09:00:00+09:00,2027-08-31T09:00:00+09:00,onboarding_tasks.csv#TASK_EMP_C0285_03/work_evidence,"{""artifact_id"":""WORK_TASK_EMP_C0285_03"",""evidence_type"":""SYNTHETIC"",""observed_at"":""2027-08-31T09:00:00+09:00"",""performed_action"":""업무 요구에 맞춰 작은 산출물을 만들고 실행/검토 기록을 남겼다."",""revision"":""확인한 예외를 수정 후 재실행했다."",""skill_id"":"""",""task"":""WORK_TASK"",""verification"":""OUTPUT_AND_RECOVERY_CHECKED""}",COMPLETED,false,SYNTHETIC_HUMAN_SCENARIO
TASK_EMP_C0285_04,C0285,EMP_C0285,EXTENDED,FOLLOW_UP_WORK,,2027-03-01T09:00:00+09:00,2027-09-30T09:00:00+09:00,2027-10-07T09:00:00+09:00,onboarding_tasks.csv#TASK_EMP_C0285_04/work_evidence,"{""artifact_id"":""WORK_TASK_EMP_C0285_04"",""evidence_type"":""SYNTHETIC"",""observed_at"":""2027-10-07T09:00:00+09:00"",""performed_action"":""업무 요구에 맞춰 작은 산출물을 만들고 실행/검토 기록을 남겼다."",""revision"":"""",""skill_id"":"""",""task"":""FOLLOW_UP_WORK"",""verification"":""OUTPUT_AND_RECOVERY_CHECKED""}",COMPLETED,true,SYNTHETIC_HUMAN_SCENARIO
TASK_EMP_C0300_01,C0300,EMP_C0300,MONTH_1,ENVIRONMENT_CHECK,M1_SKILL_06,2027-03-01T09:00:00+09:00,2027-03-31T09:00:00+09:00,2027-04-03T09:00:00+09:00,onboarding_tasks.csv#TASK_EMP_C0300_01/work_evidence,"{""artifact_id"":""WORK_TASK_EMP_C0300_01"",""evidence_type"":""SYNTHETIC"",""observed_at"":""2027-04-03T09:00:00+09:00"",""performed_action"":""업무 요구에 맞춰 작은 산출물을 만들고 실행/검토 기록을 남겼다."",""revision"":"""",""skill_id"":""M1_SKILL_06"",""task"":""ENVIRONMENT_CHECK"",""verification"":""OUTPUT_AND_RECOVERY_CHECKED""}",COMPLETED,true,SYNTHETIC_HUMAN_SCENARIO
TASK_EMP_C0300_02,C0300,EMP_C0300,MONTH_3,PIPELINE_REVIEW,M1_SKILL_06,2027-03-01T09:00:00+09:00,2027-05-30T09:00:00+09:00,2027-05-30T09:00:00+09:00,onboarding_tasks.csv#TASK_EMP_C0300_02/work_evidence,"{""artifact_id"":""WORK_TASK_EMP_C0300_02"",""evidence_type"":""SYNTHETIC"",""observed_at"":""2027-05-30T09:00:00+09:00"",""performed_action"":""업무 요구에 맞춰 작은 산출물을 만들고 실행/검토 기록을 남겼다."",""revision"":""확인한 예외를 수정 후 재실행했다."",""skill_id"":""M1_SKILL_06"",""task"":""PIPELINE_REVIEW"",""verification"":""OUTPUT_AND_RECOVERY_CHECKED""}",COMPLETED,true,SYNTHETIC_HUMAN_SCENARIO
