evidence_id,activity_id,application_id,candidate_id,source_type,verification_mode,context_id,source_ref,raw_evidence,created_at
EV_XP_APP0010_01_BUILD_M1_SKILL_03,APP0010_DOCUMENT_SCREEN_DOCUMENT_REVIEW,APP0010,C0010,APPLICATION_RESPONSE,SELF_REPORTED,XP_APP0010_01,assessment_evidence.csv#EV_XP_APP0010_01_BUILD_M1_SKILL_03/raw_evidence,"{""action"":""작업 순서를 실행하는 모듈을 구현했다."",""context"":""PERSONAL_PROTOTYPE"",""ownership"":""TEAM_CLEAR"",""response"":""지원서의 자기기술이며 직접 수행 검증이 아니다."",""revision"":"""",""task"":""BUILD"",""verification"":""""}",2026-10-20T10:11:00+09:00
EV_XP_APP0010_02_BUILD_M1_SKILL_03,APP0010_DOCUMENT_SCREEN_DOCUMENT_REVIEW,APP0010,C0010,APPLICATION_RESPONSE,SELF_REPORTED,XP_APP0010_02,assessment_evidence.csv#EV_XP_APP0010_02_BUILD_M1_SKILL_03/raw_evidence,"{""action"":""작업 순서를 실행하는 모듈을 구현했다."",""context"":""PERSONAL_PROTOTYPE"",""ownership"":""SELF"",""response"":""지원서의 자기기술이며 직접 수행 검증이 아니다."",""revision"":"""",""task"":""BUILD"",""verification"":""""}",2026-10-20T10:11:00+09:00
EV_XP_APP0010_02_VALIDATE_M1_SKILL_03,APP0010_DOCUMENT_SCREEN_DOCUMENT_REVIEW,APP0010,C0010,APPLICATION_RESPONSE,SELF_REPORTED,XP_APP0010_02,assessment_evidence.csv#EV_XP_APP0010_02_VALIDATE_M1_SKILL_03/raw_evidence,"{""action"":""빈 입력과 실패 상황 테스트를 실행하고 오류를 수정했다."",""context"":""PERSONAL_PROTOTYPE"",""ownership"":""SELF"",""response"":""지원서의 자기기술이며 직접 수행 검증이 아니다."",""revision"":"""",""task"":""VALIDATE"",""verification"":""빈 입력과 실패 상황 테스트를 실행하고 오류를 수정했다.""}",2026-10-20T10:11:00+09:00
EV_XP_APP0009_01_PROBLEM_M1_SKILL_01,APP0009_DOCUMENT_SCREEN_DOCUMENT_REVIEW,APP0009,C0009,APPLICATION_RESPONSE,SELF_REPORTED,XP_APP0009_01,assessment_evidence.csv#EV_XP_APP0009_01_PROBLEM_M1_SKILL_01/raw_evidence,"{""action"":""반복 작업의 입력 조건과 자동화 범위를 정했다."",""context"":""PERSONAL_PROTOTYPE"",""ownership"":""SELF"",""response"":""지원서의 자기기술이며 직접 수행 검증이 아니다."",""revision"":"""",""task"":""PROBLEM"",""verification"":""""}",2026-10-16T11:14:00+09:00
EV_XP_APP0009_02_BUILD_M1_SKILL_03,APP0009_DOCUMENT_SCREEN_DOCUMENT_REVIEW,APP0009,C0009,APPLICATION_RESPONSE,SELF_REPORTED,XP_APP0009_02,assessment_evidence.csv#EV_XP_APP0009_02_BUILD_M1_SKILL_03/raw_evidence,"{""action"":""담당 기능의 모델 호출 코드를 구현했다."",""context"":""TEAM_PROJECT"",""ownership"":""SELF"",""response"":""지원서의 자기기술이며 직접 수행 검증이 아니다."",""revision"":"""",""task"":""BUILD"",""verification"":""""}",2026-10-16T11:14:00+09:00
EV_XP_APP0009_02_PROBLEM_M1_SKILL_01,APP0009_DOCUMENT_SCREEN_DOCUMENT_REVIEW,APP0009,C0009,APPLICATION_RESPONSE,SELF_REPORTED,XP_APP0009_02,assessment_evidence.csv#EV_XP_APP0009_02_PROBLEM_M1_SKILL_01/raw_evidence,"{""action"":""담당 기능의 목표와 서비스 제약을 정리했다."",""context"":""TEAM_PROJECT"",""ownership"":""SELF"",""response"":""지원서의 자기기술이며 직접 수행 검증이 아니다."",""revision"":"""",""task"":""PROBLEM"",""verification"":""""}",2026-10-16T11:14:00+09:00
EV_XP_APP0009_02_VALIDATE_M1_SKILL_03,APP0009_DOCUMENT_SCREEN_DOCUMENT_REVIEW,APP0009,C0009,APPLICATION_RESPONSE,SELF_REPORTED,XP_APP0009_02,assessment_evidence.csv#EV_XP_APP0009_02_VALIDATE_M1_SKILL_03/raw_evidence,"{""action"":""담당 기능의 변경 전후 결과를 비교했다."",""context"":""TEAM_PROJECT"",""ownership"":""SELF"",""response"":""지원서의 자기기술이며 직접 수행 검증이 아니다."",""revision"":"""",""task"":""VALIDATE"",""verification"":""담당 기능의 변경 전후 결과를 비교했다.""}",2026-10-16T11:14:00+09:00
EV_XP_APP0013_01_BUILD_M1_SKILL_03,APP0013_DOCUMENT_SCREEN_DOCUMENT_REVIEW,APP0013,C0013,APPLICATION_RESPONSE,SELF_REPORTED,XP_APP0013_01,assessment_evidence.csv#EV_XP_APP0013_01_BUILD_M1_SKILL_03/raw_evidence,"{""action"":""작업 순서를 실행하는 모듈을 구현했다."",""context"":""PERSONAL_PROTOTYPE"",""ownership"":""SELF"",""response"":""지원서의 자기기술이며 직접 수행 검증이 아니다."",""revision"":"""",""task"":""BUILD"",""verification"":""""}",2026-10-15T11:54:00+09:00
EV_XP_APP0013_01_VALIDATE_M1_SKILL_03,APP0013_DOCUMENT_SCREEN_DOCUMENT_REVIEW,APP0013,C0013,APPLICATION_RESPONSE,SELF_REPORTED,XP_APP0013_01,assessment_evidence.csv#EV_XP_APP0013_01_VALIDATE_M1_SKILL_03/raw_evidence,"{""action"":""빈 입력과 실패 상황 테스트를 실행하고 오류를 수정했다."",""context"":""PERSONAL_PROTOTYPE"",""ownership"":""SELF"",""response"":""지원서의 자기기술이며 직접 수행 검증이 아니다."",""revision"":"""",""task"":""VALIDATE"",""verification"":""빈 입력과 실패 상황 테스트를 실행하고 오류를 수정했다.""}",2026-10-15T11:54:00+09:00
EV_XP_APP0008_01_BUILD_M1_SKILL_03,APP0008_DOCUMENT_SCREEN_DOCUMENT_REVIEW,APP0008,C0008,APPLICATION_RESPONSE,SELF_REPORTED,XP_APP0008_01,assessment_evidence.csv#EV_XP_APP0008_01_BUILD_M1_SKILL_03/raw_evidence,"{""action"":""담당 기능의 모델 호출 코드를 구현했다."",""context"":""TEAM_PROJECT"",""ownership"":""TEAM_CLEAR"",""response"":""지원서의 자기기술이며 직접 수행 검증이 아니다."",""revision"":"""",""task"":""BUILD"",""verification"":""""}",2026-10-17T10:37:00+09:00
